%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,-0.0596,-1.0358,118602,-1.0954
DATA,0.0383,-1.0657,118627,-1.0274
DATA,-0.0542,-0.9980,118651,-1.0522
DATA,-0.0074,-1.0001,118676,-1.0075
DATA,0.0323,-0.9940,118700,-0.9617
DATA,-0.0003,-1.1910,118725,-1.1913
DATA,0.0062,-1.1750,118749,-1.1688
DATA,-0.0245,-1.0977,118774,-1.1222
DATA,-0.0118,-1.0662,118798,-1.0780
DATA,-0.0597,-1.1146,118835,-1.1743
DATA,-0.0296,-1.1582,118860,-1.1878
DATA,0.0731,-1.0682,118884,-0.9951
DATA,0.0474,-1.1141,118909,-1.0667
DATA,0.1145,-1.1926,118933,-1.0781
DATA,-0.0380,-1.0148,118958,-1.0528
DATA,-0.0155,-1.0770,118982,-1.0925
DATA,0.0027,-1.0074,119007,-1.0048
DATA,-0.0205,-1.0374,119031,-1.0579
DATA,0.0156,-1.1261,119056,-1.1104
DATA,-0.0554,-1.1911,119080,-1.2465
DATA,0.0066,-1.2111,119105,-1.2045
DATA,0.0147,-1.1863,119130,-1.1716
DATA,-0.0130,-1.2003,119166,-1.2133
DATA,0.0576,-1.1563,119191,-1.0987
DATA,0.0488,-1.0099,119215,-0.9611
DATA,-0.0431,-1.1139,119240,-1.1570
DATA,0.0184,-1.0776,119264,-1.0592
DATA,-0.0553,-1.2728,119289,-1.3281
DATA,-0.0029,-1.0789,119314,-1.0818
DATA,-0.0481,-1.0683,119338,-1.1164
DATA,0.0028,-1.1278,119363,-1.1249
DATA,0.0228,-1.0466,119387,-1.0238
DATA,-0.0211,-1.1771,119412,-1.1982
DATA,-0.0105,-1.1940,119436,-1.2045
DATA,-0.0006,-1.1361,119461,-1.1368
DATA,-0.0049,-1.0374,119485,-1.0423
DATA,0.0362,-1.1604,119522,-1.1242
DATA,0.0903,-1.1633,119547,-1.0730
DATA,-0.0587,-1.2129,119571,-1.2715
DATA,-0.0074,-1.1370,119596,-1.1444
DATA,-0.0263,-1.0539,119620,-1.0802
DATA,0.0202,-1.0567,119645,-1.0366
DATA,-0.0231,-1.1148,119669,-1.1380
DATA,-0.0351,-1.1853,119694,-1.2204
DATA,-0.0297,-1.0518,119718,-1.0815
DATA,0.0361,-1.1012,119743,-1.0651
DATA,0.0100,-1.1259,119767,-1.1159
DATA,0.0880,-1.0890,119792,-1.0011
DATA,0.0017,-1.0340,119816,-1.0323
DATA,0.0563,-1.2919,119853,-1.2356
DATA,0.0229,0.2625,119878,0.2854
DATA,0.0024,0.4383,119902,0.4407
DATA,-0.0167,1.2255,119927,1.2088
DATA,0.0188,0.2248,119951,0.2437
DATA,0.0974,1.2413,119976,1.3387
DATA,-0.0143,1.3943,120000,1.3800
DATA,0.0031,1.2741,120025,1.2773
DATA,-0.0329,0.8922,120050,0.8593
DATA,-0.0014,1.0501,120074,1.0487
