%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.1383,-2.4965,396888,-2.3582
DATA,0.0915,-2.5102,397069,-2.4187
DATA,0.0405,-2.3299,397250,-2.2894
DATA,0.0789,-2.3816,397431,-2.3027
DATA,0.2133,-2.3902,397612,-2.1768
DATA,0.1489,-2.4145,397793,-2.2657
DATA,-0.0111,-3.0540,398064,-3.0650
DATA,-0.0581,-1.7600,398245,-1.8181
DATA,0.5157,-2.1802,398426,-1.6645
DATA,0.4372,-2.5460,398607,-2.1088
DATA,-0.0542,-2.0137,398788,-2.0679
DATA,0.4360,-2.3985,398969,-1.9625
DATA,0.3157,-2.0387,399150,-1.7229
DATA,0.1415,-2.1120,399330,-1.9705
DATA,0.1572,-2.4298,399511,-2.2727
DATA,0.2709,-2.0361,399692,-1.7652
DATA,2.8650,-38.0567,399963,-35.1917
DATA,22.1076,-92.5405,400144,-70.4329
DATA,1.7084,-216.3282,400325,-214.6198
DATA,-65.8644,-315.8976,400506,-381.7620
DATA,-96.6950,-424.1409,400687,-520.8359
DATA,-176.6795,-339.8956,400868,-516.5751
DATA,-47.0943,-4.7290,401049,-51.8233
DATA,0.2580,1.8855,401230,2.1435
DATA,0.1149,-0.0964,401411,0.0185
DATA,0.2228,-2.4006,401682,-2.1778
DATA,0.1248,-0.0787,401863,0.0462
DATA,5.6326,-140.0218,402044,-134.3892
DATA,-74.5596,-397.4359,402225,-471.9954
DATA,-140.3040,-434.8590,402405,-575.1630
DATA,-153.1623,-436.3124,402586,-589.4747
DATA,-143.7718,-421.9230,402767,-565.6949
DATA,-140.7489,-415.0049,402948,-555.7538
DATA,-112.4634,-325.1487,403129,-437.6121
DATA,2.2643,-11.2805,403310,-9.0163
DATA,6.3380,-2.5363,403581,3.8017
DATA,1.4346,16.3099,403762,17.7445
DATA,1.8167,18.0088,403943,19.8255
DATA,0.2264,-22.0552,404124,-21.8287
DATA,-13.6273,-417.0905,404305,-430.7177
DATA,-95.8180,-455.1626,404486,-550.9805
DATA,-113.2856,-507.1701,404666,-620.4557
DATA,-133.5690,-579.1243,404847,-712.6932
DATA,-92.0307,-285.2654,405028,-377.2961
DATA,6.3850,-1.5345,405300,4.8505
DATA,0.6831,-2.6763,405480,-1.9931
DATA,3.0802,-2.4196,405661,0.6606
DATA,0.6768,1.7190,405842,2.3958
DATA,2.3781,-22.5519,406023,-20.1738
DATA,-28.2883,-326.0944,406204,-354.3827
DATA,-167.4700,-443.8959,406385,-611.3660
DATA,-235.8776,-394.6492,406566,-630.5268
DATA,-209.9720,-203.2505,406747,-413.2225
DATA,-61.5162,-41.5093,406928,-103.0256
DATA,0.0861,-2.0698,407199,-1.9837
DATA,0.2480,-2.4763,407380,-2.2283
DATA,0.2154,-2.3047,407561,-2.0892
DATA,0.2794,-2.3377,407742,-2.0583
DATA,0.3679,-1.9937,407922,-1.6258
DATA,0.1417,-2.6157,408103,-2.4740
DATA,0.1224,-2.5121,408284,-2.3897
DATA,0.4048,-2.0364,408465,-1.6316
DATA,0.3086,-2.2339,408646,-1.9253
DATA,0.2658,-2.3255,408917,-2.0597
DATA,0.2835,-2.2298,409098,-1.9463
DATA,0.3068,-2.2254,409279,-1.9186
DATA,0.2546,-2.2960,409460,-2.0413
