%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.1611,-0.1147,209582,0.0463
DATA,-0.1502,-0.3580,209763,-0.5082
DATA,-0.1097,-0.3834,209945,-0.4931
DATA,-0.0061,-0.2627,210126,-0.2688
DATA,0.0001,-0.0057,210307,-0.0056
DATA,-0.0424,-0.3546,210489,-0.3971
DATA,-0.2232,-0.6395,210670,-0.8628
DATA,0.0614,0.0165,210851,0.0779
DATA,0.1561,-0.2296,211033,-0.0735
DATA,0.1400,-0.1121,211214,0.0278
DATA,0.0001,-0.3290,211486,-0.3289
DATA,0.0345,-0.0204,211668,0.0141
DATA,-0.0179,-0.3620,211849,-0.3799
DATA,0.0034,-0.2672,212030,-0.2638
DATA,0.9231,-6.5086,212212,-5.5855
DATA,45.8796,-132.8185,212393,-86.9388
DATA,7.3452,-214.4182,212574,-207.0730
DATA,-54.8255,-240.5783,212756,-295.4038
DATA,-37.5141,-307.0161,212937,-344.5302
DATA,-69.3614,-438.1250,213209,-507.4863
DATA,-98.6698,-466.2588,213391,-564.9286
DATA,-97.6745,-411.9899,213572,-509.6644
DATA,-81.9613,-506.2057,213753,-588.1670
DATA,-97.8761,-419.1582,213935,-517.0343
DATA,12.8323,-21.1807,214116,-8.3484
DATA,1.8058,5.3387,214297,7.1445
DATA,-0.1354,4.9688,214479,4.8334
DATA,0.1723,2.3442,214660,2.5165
DATA,0.2394,4.3365,214841,4.5759
DATA,4.8560,-79.6318,215114,-74.7758
DATA,-21.0119,-310.3721,215295,-331.3841
DATA,-127.1105,-313.0947,215476,-440.2052
DATA,-140.2130,-369.4568,215658,-509.6697
DATA,-160.4636,-368.0480,215839,-528.5117
DATA,-21.8470,-14.2917,216020,-36.1388
DATA,0.2425,-0.5877,216202,-0.3452
DATA,0.2177,-0.2577,216383,-0.0400
DATA,0.0568,-0.4545,216564,-0.3976
DATA,-0.0047,-14.6630,216836,-14.6677
DATA,28.4132,-131.7747,217018,-103.3615
DATA,-35.5779,-306.1361,217199,-341.7141
DATA,-115.6464,-409.3940,217381,-525.0404
DATA,-131.0492,-411.2845,217562,-542.3337
DATA,-130.7153,-351.4252,217743,-482.1405
DATA,-164.6293,-447.7906,217925,-612.4200
DATA,-156.1083,-373.3221,218106,-529.4304
DATA,-14.1974,-42.4533,218287,-56.6507
DATA,0.3461,-0.2218,218469,0.1243
DATA,0.0493,0.4198,218741,0.4691
DATA,0.1939,0.0001,218922,0.1939
DATA,-0.0667,-5.4551,219104,-5.5218
DATA,12.1329,-14.5162,219285,-2.3833
DATA,-23.3154,-111.8240,219466,-135.1394
DATA,-119.0374,-302.3510,219648,-421.3884
DATA,-162.3322,-353.5564,219829,-515.8886
DATA,-182.2100,-351.2569,220010,-533.4669
DATA,-180.4637,-417.5573,220192,-598.0210
DATA,-173.3239,-475.1891,220373,-648.5131
DATA,-144.3870,-268.5302,220645,-412.9172
DATA,-16.4297,-8.5761,220826,-25.0059
DATA,0.4283,0.1601,221008,0.5884
DATA,0.2248,-0.4006,221189,-0.1758
DATA,0.0666,-0.7082,221371,-0.6415
DATA,-0.2392,-0.9784,221552,-1.2176
DATA,-0.2721,-0.6912,221733,-0.9633
DATA,0.3080,-0.0987,221915,0.2093
DATA,0.4176,0.0702,222096,0.4878
DATA,0.4795,-1.0937,222368,-0.6141
DATA,0.1637,-0.3475,222549,-0.1838
DATA,0.1716,-0.2170,222731,-0.0454
DATA,0.1943,-0.2125,222912,-0.0182
DATA,0.1797,-0.2307,223094,-0.0510
DATA,0.1748,-0.2009,223275,-0.0261
DATA,0.2084,-0.1947,223456,0.0137
