%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,-2.7747,0.1254,424196,-2.6493
DATA,-2.7620,0.2760,424233,-2.4860
DATA,-2.7888,0.2481,424257,-2.5407
DATA,-2.7813,0.0645,424282,-2.7168
DATA,-2.7814,0.1865,424307,-2.5949
DATA,-2.7996,0.2342,424331,-2.5653
DATA,-2.7958,0.2483,424356,-2.5475
DATA,-2.7494,0.2412,424380,-2.5082
DATA,-2.7394,0.3685,424405,-2.3709
DATA,-2.7492,0.1924,424429,-2.5568
DATA,-2.7739,0.1826,424454,-2.5913
DATA,-2.8548,0.1978,424479,-2.6570
DATA,-2.8368,0.1827,424503,-2.6541
DATA,-2.7917,0.2299,424528,-2.5618
DATA,-2.8493,0.2406,424565,-2.6087
DATA,-2.7643,0.1613,424589,-2.6030
DATA,-2.7897,0.1956,424614,-2.5942
DATA,-2.8633,0.2791,424638,-2.5843
DATA,-2.8796,0.1895,424663,-2.6901
DATA,-2.8597,0.1741,424687,-2.6856
DATA,-2.8974,0.3032,424712,-2.5942
DATA,-3.1761,0.0690,424736,-3.1071
DATA,-3.0132,0.0894,424761,-2.9237
DATA,-3.0086,0.2907,424786,-2.7179
DATA,-3.0413,0.2268,424810,-2.8144
DATA,-3.0321,0.1345,424835,-2.8976
DATA,-3.0272,0.2549,424859,-2.7723
DATA,-2.9407,0.1745,424884,-2.7661
DATA,-2.9558,0.3058,424921,-2.6499
DATA,-2.9627,0.2366,424945,-2.7261
DATA,-2.9309,0.1454,424970,-2.7856
DATA,-2.8968,0.2768,424994,-2.6200
DATA,-2.9259,0.1739,425019,-2.7520
DATA,-2.9294,0.2290,425044,-2.7004
DATA,-2.9412,0.0628,425068,-2.8784
DATA,-2.8454,0.1181,425093,-2.7274
DATA,-2.8269,0.2193,425117,-2.6076
DATA,-2.8154,0.1051,425142,-2.7103
DATA,-2.7906,0.1984,425166,-2.5922
DATA,-2.8031,0.1974,425191,-2.6057
DATA,-2.8258,0.1940,425216,-2.6319
DATA,-2.8478,0.2125,425252,-2.6353
DATA,-2.8257,0.1320,425277,-2.6937
DATA,-2.7852,0.3008,425302,-2.4844
DATA,-2.8531,0.1498,425326,-2.7033
DATA,-2.8057,0.2192,425351,-2.5865
DATA,-2.8187,0.1912,425375,-2.6275
DATA,-2.8338,0.3416,425400,-2.4922
DATA,-2.8310,0.1553,425424,-2.6758
DATA,-2.8085,0.2645,425449,-2.5440
DATA,-2.7296,0.0630,425474,-2.6667
DATA,-2.7833,0.2417,425498,-2.5416
DATA,-2.7970,0.1244,425523,-2.6726
DATA,-2.7910,0.2327,425547,-2.5584
DATA,-2.8145,0.1032,425584,-2.7113
DATA,-2.7277,0.2010,425609,-2.5267
DATA,-2.7455,0.2723,425633,-2.4731
DATA,-2.8035,0.2229,425658,-2.5807
DATA,-2.7152,0.1233,425682,-2.5919
DATA,-2.7913,0.1704,425707,-2.6209
DATA,-2.8153,0.1933,425732,-2.6220
DATA,-2.7101,0.1491,425756,-2.5610
DATA,-2.7779,0.2468,425781,-2.5311
DATA,-2.7277,0.1983,425805,-2.5294
