%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,-1.6324,0.0811,215836,-1.5514
DATA,-1.6354,0.1693,215861,-1.4661
DATA,-1.6093,-0.0067,215885,-1.6160
DATA,-1.6101,0.1746,215910,-1.4354
DATA,-1.6328,0.1546,215947,-1.4781
DATA,-1.6900,0.1343,215971,-1.5557
DATA,-1.6547,0.1705,215996,-1.4842
DATA,-1.6342,0.0602,216020,-1.5741
DATA,-1.6672,0.1361,216045,-1.5311
DATA,-1.6654,0.3119,216069,-1.3535
DATA,-1.7089,-0.0065,216094,-1.7154
DATA,-1.6587,0.1991,216119,-1.4596
DATA,-1.6563,-0.0237,216143,-1.6800
DATA,-1.6037,0.1294,216168,-1.4742
DATA,-1.6769,0.1499,216192,-1.5270
DATA,-1.6914,0.1820,216217,-1.5094
DATA,-1.5849,0.1499,216241,-1.4350
DATA,-1.6237,0.1117,216278,-1.5121
DATA,-1.6496,0.0491,216303,-1.6005
DATA,-1.5916,0.0562,216327,-1.5355
DATA,-1.6740,0.1534,216352,-1.5206
DATA,-1.5866,0.0828,216376,-1.5037
DATA,-1.5763,0.0179,216401,-1.5583
DATA,-1.5946,0.1311,216425,-1.4635
DATA,-1.5968,0.0942,216450,-1.5026
DATA,-1.5532,0.0855,216475,-1.4677
DATA,-1.5968,0.2286,216499,-1.3682
DATA,-1.5181,0.0628,216524,-1.4552
DATA,-1.6410,0.0329,216548,-1.6080
DATA,-1.6088,0.1788,216573,-1.4299
DATA,-1.6734,0.0011,216597,-1.6724
DATA,-1.5903,0.0201,216634,-1.5703
DATA,-1.6260,0.1465,216659,-1.4795
DATA,-1.5698,0.2082,216683,-1.3615
DATA,-1.5770,0.1138,216708,-1.4633
DATA,-1.6224,0.0937,216732,-1.5287
DATA,-1.4613,0.1215,216757,-1.3398
DATA,-1.6169,0.1034,216781,-1.5135
DATA,-1.5973,0.0980,216806,-1.4993
DATA,-1.5442,0.0361,216831,-1.5081
DATA,-1.7437,0.1381,216855,-1.6057
DATA,-1.5674,0.1112,216880,-1.4562
DATA,-1.5664,0.1029,216904,-1.4635
DATA,-1.5956,0.1015,216929,-1.4941
DATA,-1.5833,0.1908,216966,-1.3925
DATA,-1.5750,0.0976,216990,-1.4774
DATA,-1.5473,0.1356,217015,-1.4116
DATA,-1.7084,0.0417,217039,-1.6667
DATA,-1.6966,0.0253,217064,-1.6714
DATA,-1.6807,0.0670,217088,-1.6137
DATA,-1.6435,0.1325,217113,-1.5110
DATA,-1.5773,0.0534,217137,-1.5239
DATA,-1.5281,0.1658,217162,-1.3623
DATA,-1.4654,0.0935,217187,-1.3719
DATA,-1.5215,0.0593,217211,-1.4622
DATA,-1.6790,0.2953,217236,-1.3837
DATA,-1.6292,0.2776,217260,-1.3516
DATA,-1.7060,-0.0379,217285,-1.7439
DATA,-1.7488,0.2667,217322,-1.4821
DATA,-1.6854,-0.1658,217346,-1.8512
DATA,-1.9573,0.0915,217371,-1.8659
DATA,-1.6673,0.4236,217395,-1.2438
DATA,-1.8344,0.0221,217420,-1.8123
DATA,-1.6586,0.1829,217444,-1.4758
DATA,-1.8290,0.0064,217469,-1.8226
DATA,-1.7835,0.1346,217493,-1.6490
DATA,-1.6846,0.2177,217518,-1.4669
DATA,-1.7445,0.1634,217542,-1.5811
DATA,-1.6622,0.1323,217567,-1.5299
DATA,-1.7107,0.1117,217592,-1.5991
DATA,-1.6434,0.1514,217616,-1.4920
DATA,-1.7194,0.0237,217653,-1.6958
DATA,-1.7001,0.1673,217678,-1.5328
DATA,-1.7055,0.0794,217702,-1.6261
DATA,-1.7376,0.0048,217727,-1.7327
DATA,-1.6318,0.1857,217751,-1.4461
DATA,-1.7909,0.0697,217776,-1.7212
DATA,-1.6243,0.0276,217800,-1.5967
DATA,-3.4779,0.2248,217825,-3.2531
DATA,-8.0862,0.1502,217849,-7.9360
DATA,-11.2246,0.0881,217874,-11.1365
DATA,-14.2517,0.1221,217898,-14.1296
DATA,-16.1605,0.1901,217923,-15.9704
DATA,-15.8042,-0.0447,217948,-15.8489
DATA,-14.6325,0.1154,217984,-14.5171
DATA,-14.0506,0.0323,218009,-14.0184
DATA,-14.6783,0.1473,218034,-14.5310
DATA,-14.9367,0.0885,218058,-14.8482
DATA,-13.8208,0.1475,218083,-13.6733
DATA,-11.7972,0.1124,218107,-11.6849
DATA,-11.5656,0.0558,218132,-11.5098
DATA,-12.6563,0.1503,218156,-12.5060
DATA,-12.8242,0.0151,218181,-12.8092
DATA,-11.3982,0.1676,218205,-11.2306
DATA,-7.9908,0.1080,218230,-7.8828
DATA,-4.4373,0.0299,218254,-4.4074
DATA,-2.5977,0.0432,218279,-2.5545
DATA,-2.1199,0.1242,218304,-1.9957
DATA,-2.0612,0.1169,218340,-1.9443
DATA,-2.0116,0.0713,218365,-1.9403
DATA,-2.0905,0.0183,218389,-2.0723
