%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,-15.2380,-6.2826,150044,-21.5205
DATA,-15.0528,-6.6120,150068,-21.6649
DATA,-15.0956,-6.3967,150093,-21.4923
DATA,-15.3123,-6.2092,150117,-21.5216
DATA,-15.4713,-6.0395,150142,-21.5108
DATA,-15.7329,-5.7404,150166,-21.4733
DATA,-15.9513,-5.3312,150191,-21.2825
DATA,-16.0868,-5.3579,150215,-21.4447
DATA,-16.4226,-4.7565,150240,-21.1791
DATA,-16.6049,-4.8707,150264,-21.4756
DATA,-16.5901,-5.1941,150289,-21.7842
DATA,-16.4363,-5.6306,150313,-22.0670
DATA,-16.5242,-5.8432,150338,-22.3674
DATA,-16.6821,-5.5320,150375,-22.2141
DATA,-16.6610,-5.4627,150399,-22.1237
DATA,-16.8597,-5.2045,150424,-22.0643
DATA,-16.8796,-5.2449,150448,-22.1245
DATA,-16.9852,-5.2246,150473,-22.2098
DATA,-17.2425,-5.5645,150497,-22.8070
DATA,-17.4557,-5.2129,150522,-22.6686
DATA,-17.8248,-4.6786,150546,-22.5034
DATA,-17.9815,-4.4094,150571,-22.3909
DATA,-18.1071,-4.3510,150595,-22.4580
DATA,-18.0391,-4.1998,150620,-22.2389
DATA,-18.1105,-3.9170,150644,-22.0275
DATA,-18.4065,-3.7091,150669,-22.1156
DATA,-18.6797,-2.7862,150706,-21.4659
DATA,-18.4356,-3.7409,150730,-22.1765
DATA,-17.9038,-3.1626,150755,-21.0664
DATA,-18.6762,-1.3734,150779,-20.0496
DATA,-19.1001,-0.7032,150804,-19.8033
DATA,-19.2101,-0.4657,150828,-19.6758
DATA,-19.2150,0.2854,150853,-18.9296
DATA,-19.4842,0.0240,150877,-19.4602
DATA,-20.2574,1.5051,150902,-18.7524
DATA,-20.6661,2.1612,150926,-18.5049
DATA,-20.9218,2.6406,150951,-18.2812
DATA,-20.4421,3.5723,150975,-16.8698
DATA,-20.8393,4.1620,151000,-16.6773
DATA,-21.2516,5.3346,151037,-15.9170
DATA,-20.8709,4.4846,151061,-16.3862
DATA,-20.5416,2.8658,151086,-17.6758
DATA,-20.0449,1.6492,151110,-18.3957
DATA,-19.9743,0.9032,151135,-19.0711
DATA,-19.4889,-0.0580,151159,-19.5469
DATA,-18.9501,-0.9737,151184,-19.9237
DATA,-19.1743,-0.9391,151208,-20.1134
DATA,-18.9163,-2.3202,151233,-21.2364
DATA,-17.5858,-5.0777,151257,-22.6635
DATA,-17.7511,-3.3337,151282,-21.0847
DATA,-18.6781,0.3404,151306,-18.3378
DATA,-18.4417,4.9182,151331,-13.5236
DATA,-19.8166,2.1020,151356,-17.7146
DATA,-20.7940,16.1110,151392,-4.6830
DATA,-23.3146,25.0371,151417,1.7225
DATA,-22.9536,10.5690,151441,-12.3846
DATA,-11.4197,-18.5878,151466,-30.0074
DATA,-7.6015,-23.9505,151490,-31.5520
DATA,-8.4728,-18.5859,151515,-27.0586
DATA,-11.9450,-7.5808,151539,-19.5258
DATA,-16.2864,5.1188,151564,-11.1676
DATA,-21.2172,16.4195,151588,-4.7976
DATA,-25.5975,27.7309,151613,2.1334
DATA,-28.5494,34.6869,151638,6.1375
DATA,-29.4596,36.6643,151662,7.2047
DATA,-28.8146,36.7124,151687,7.8978
DATA,-29.2517,39.6147,151711,10.3631
DATA,-27.4498,33.9031,151748,6.4533
DATA,-23.7331,25.4360,151772,1.7029
DATA,-20.0226,21.0202,151797,0.9976
DATA,-18.9283,15.8714,151821,-3.0569
DATA,-16.6688,12.8516,151846,-3.8172
DATA,-17.1033,15.9600,151870,-1.1433
DATA,-17.8002,11.2339,151895,-6.5663
DATA,-16.7985,5.0881,151919,-11.7104
DATA,-17.2443,4.7623,151944,-12.4820
DATA,-19.0799,9.9093,151969,-9.1706
DATA,-19.9208,10.8215,151993,-9.0993
DATA,-18.0652,4.7052,152018,-13.3600
DATA,-16.9501,7.1830,152042,-9.7671
DATA,-16.5061,11.5972,152079,-4.9089
DATA,-16.6757,12.4196,152103,-4.2561
DATA,-15.7292,13.2272,152128,-2.5019
DATA,-14.6593,13.2553,152152,-1.4040
DATA,-14.4622,14.7007,152177,0.2384
DATA,-15.4336,14.6537,152201,-0.7799
DATA,-15.1330,13.2407,152226,-1.8923
DATA,-17.3619,7.4726,152251,-9.8893
DATA,-17.6431,3.4875,152275,-14.1556
DATA,-16.2188,3.8760,152300,-12.3428
DATA,-16.0933,6.6628,152324,-9.4305
DATA,-17.3873,8.7807,152349,-8.6065
DATA,-17.6798,8.3305,152373,-9.3493
DATA,-17.8502,4.8274,152398,-13.0228
DATA,-18.4023,1.5599,152434,-16.8424
DATA,-20.6601,3.8900,152459,-16.7701
DATA,-21.2562,2.7188,152484,-18.5374
DATA,-22.6032,-6.7921,152508,-29.3953
DATA,-24.8709,-14.2613,152533,-39.1322
DATA,-25.2516,-16.3094,152557,-41.5610
DATA,-25.3838,-20.6126,152582,-45.9964
DATA,-28.5993,-28.6661,152606,-57.2654
DATA,-31.7367,-31.8834,152631,-63.6202
DATA,-32.4383,-29.6836,152655,-62.1219
DATA,-34.6214,-34.0371,152680,-68.6585
DATA,-36.9909,-42.1980,152704,-79.1888
DATA,-38.4539,-47.9430,152729,-86.3969
DATA,-39.6864,-53.0292,152765,-92.7156
DATA,-40.9040,-57.8491,152790,-98.7531
DATA,-42.2821,-62.3872,152815,-104.6693
DATA,-43.0216,-66.1690,152839,-109.1906
DATA,-43.7449,-68.6742,152864,-112.4191
DATA,-44.4517,-71.5431,152888,-115.9948
DATA,-40.6242,-49.9769,152913,-90.6011
DATA,-36.2254,-46.3458,152937,-82.5712
DATA,-34.7474,-45.1792,152962,-79.9266
DATA,-35.0927,-47.5465,152986,-82.6392
DATA,-37.7277,-57.3241,153011,-95.0518
DATA,-39.5360,-65.5558,153035,-105.0918
DATA,-41.1284,-76.2847,153060,-117.4132
DATA,-43.9665,-86.5928,153084,-130.5593
DATA,-44.8663,-86.1146,153121,-130.9809
DATA,-46.7405,-88.5744,153146,-135.3149
DATA,-47.4028,-97.9617,153170,-145.3646
DATA,-49.2995,-104.0529,153195,-153.3524
DATA,-43.5688,-74.8484,153219,-118.4172
DATA,-43.7963,-75.9998,153244,-119.7962
DATA,-43.3668,-74.6685,153268,-118.0353
DATA,-43.5863,-77.4691,153293,-121.0554
DATA,-43.6981,-81.0384,153317,-124.7365
DATA,-43.2761,-80.3382,153342,-123.6143
DATA,-43.9667,-88.4181,153366,-132.3848
DATA,-46.0958,-105.0336,153391,-151.1294
DATA,-47.6119,-107.7765,153415,-155.3885
DATA,-49.2409,-107.8672,153452,-157.1081
DATA,-49.6193,-109.9722,153477,-159.5915
DATA,-50.0453,-114.8530,153501,-164.8983
DATA,-52.0847,-118.8871,153526,-170.9718
DATA,-53.7895,-123.0251,153550,-176.8146
DATA,-48.3919,-86.5251,153575,-134.9170
DATA,-46.3422,-87.1998,153599,-133.5420
DATA,-46.6430,-88.9773,153624,-135.6203
DATA,-48.5752,-94.3830,153648,-142.9582
DATA,-50.1744,-104.8009,153673,-154.9752
DATA,-51.1425,-117.0522,153697,-168.1948
DATA,-49.3884,-113.5452,153722,-162.9336
DATA,-46.8235,-105.3835,153746,-152.2070
DATA,-47.4324,-103.8305,153771,-151.2629
DATA,-48.4093,-100.8645,153808,-149.2738
DATA,-47.4558,-91.9455,153832,-139.4013
DATA,-43.1407,-71.7529,153857,-114.8935
DATA,-36.9616,-46.9543,153881,-83.9160
DATA,-32.0615,-32.4032,153906,-64.4647
DATA,-28.3515,-22.8176,153930,-51.1691
DATA,-22.3528,-12.7797,153955,-35.1326
DATA,-13.9242,-7.3531,153979,-21.2772
DATA,-11.5675,-7.4274,154004,-18.9948
DATA,-14.3869,-6.9033,154028,-21.2902
DATA,-15.3056,-11.3001,154053,-26.6057
DATA,-12.8856,-7.4919,154077,-20.3775
DATA,-12.4737,-2.1435,154102,-14.6172
DATA,-12.8460,-3.0338,154139,-15.8797
DATA,-12.7133,-2.9461,154163,-15.6594
DATA,-12.7102,-2.9968,154188,-15.7070
DATA,-12.5586,-2.8276,154212,-15.3862
DATA,-12.6450,-2.7041,154237,-15.3491
DATA,-12.6384,-3.0233,154261,-15.6617
DATA,-12.7396,-3.2344,154286,-15.9740
DATA,-12.5607,-3.2019,154310,-15.7626
DATA,-12.5407,-3.1517,154335,-15.6924
DATA,-12.4736,-3.2854,154359,-15.7590
DATA,-12.5778,-3.5869,154384,-16.1647
DATA,-12.5275,-3.6393,154408,-16.1669
DATA,-12.2874,-3.7017,154433,-15.9891
DATA,-12.2592,-3.8839,154457,-16.1431
DATA,-12.3315,-2.6918,154494,-15.0233
DATA,-12.6827,0.2008,154519,-12.4819
DATA,-12.7912,3.6417,154543,-9.1495
DATA,-12.9928,4.5728,154568,-8.4200
DATA,-12.8225,4.7142,154592,-8.1084
DATA,-13.0119,4.5402,154617,-8.4717
DATA,-12.8591,4.4083,154641,-8.4508
DATA,-12.7435,5.7308,154666,-7.0127
DATA,-12.8907,9.9071,154690,-2.9835
DATA,-13.1086,15.3894,154715,2.2808
DATA,-13.0769,15.0968,154739,2.0199
DATA,-12.8173,13.6926,154764,0.8753
DATA,-12.8647,17.2155,154789,4.3508
DATA,-12.1744,6.0615,154825,-6.1130
DATA,-11.7275,4.0006,154850,-7.7268
DATA,-11.5763,3.9909,154874,-7.5854
DATA,-11.4823,4.6612,154899,-6.8210
DATA,-11.3986,5.4721,154923,-5.9264
DATA,-11.2115,5.6042,154948,-5.6073
DATA,-11.0222,6.0183,154972,-5.0039
DATA,-10.9492,5.3712,154997,-5.5780
DATA,-10.8312,4.6013,155021,-6.2299
DATA,-10.5844,1.6630,155046,-8.9214
DATA,-10.5310,1.3534,155070,-9.1776
DATA,-10.6270,3.5062,155095,-7.1208
DATA,-10.7691,6.4439,155120,-4.3252
DATA,-10.7672,6.9224,155144,-3.8447
DATA,-10.7947,7.1158,155181,-3.6788
DATA,-10.7446,9.0213,155205,-1.7233
DATA,-10.8803,8.3231,155230,-2.5573
DATA,-10.8355,6.8843,155254,-3.9512
DATA,-10.6559,7.4530,155279,-3.2029
DATA,-9.4026,9.0689,155303,-0.3338
DATA,-8.5770,6.1212,155328,-2.4558
DATA,-7.9624,3.9421,155352,-4.0203
DATA,-7.8460,2.0072,155377,-5.8388
DATA,-8.2308,-1.0089,155401,-9.2396
DATA,-10.0664,-6.9453,155426,-17.0116
DATA,-12.0163,-11.7256,155451,-23.7419
DATA,-11.9173,-14.5662,155475,-26.4835
DATA,-12.7135,-20.5099,155512,-33.2235
DATA,-14.7475,-22.5854,155536,-37.3329
DATA,-15.6373,-19.4777,155561,-35.1150
DATA,-15.2040,-18.0133,155585,-33.2173
DATA,-16.3584,-22.6287,155610,-38.9871
DATA,-19.1038,-27.0501,155634,-46.1539
DATA,-21.6275,-28.5238,155659,-50.1513
DATA,-22.4476,-31.8262,155683,-54.2739
DATA,-23.8605,-41.8132,155708,-65.6737
DATA,-27.9202,-53.5127,155733,-81.4329
DATA,-33.1906,-59.6496,155757,-92.8402
DATA,-36.6506,-63.7841,155782,-100.4348
DATA,-39.3401,-63.1006,155806,-102.4407
DATA,-35.5017,-47.7678,155831,-83.2694
DATA,-35.5415,-49.6856,155867,-85.2271
DATA,-37.5171,-59.8662,155892,-97.3833
DATA,-40.5500,-67.8068,155916,-108.3568
