%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,-0.0631,-5.8417,153810,-5.9048
DATA,-0.0517,-5.8463,153992,-5.8980
DATA,-0.0588,-5.8121,154173,-5.8709
DATA,-0.0738,-5.8160,154355,-5.8898
DATA,-0.0602,-5.8572,154536,-5.9174
DATA,-0.0581,-5.8772,154808,-5.9353
DATA,-0.0596,-5.9506,154989,-6.0102
DATA,-0.0729,-0.8396,155171,-0.9125
DATA,0.2700,0.1609,155352,0.4309
DATA,0.2741,-0.5384,155533,-0.2644
DATA,-0.5442,-0.8839,155715,-1.4280
DATA,-0.0309,-0.2144,155896,-0.2453
DATA,-0.0422,-1.4151,156078,-1.4573
DATA,-0.0882,-66.4530,156259,-66.5411
DATA,0.0215,-236.6825,156440,-236.6610
DATA,0.0815,-76.7953,156712,-76.7138
DATA,-0.0607,-6.5044,156894,-6.5651
DATA,-0.0764,-153.2380,157075,-153.3144
DATA,0.1083,-315.9649,157256,-315.8567
DATA,0.0271,-304.6649,157438,-304.6379
DATA,-0.0353,-6.7028,157619,-6.7380
DATA,0.9773,-0.2695,157801,0.7078
DATA,-73.0607,-0.2625,157982,-73.3232
DATA,-178.6774,-0.2070,158163,-178.8844
DATA,-202.0579,-0.1217,158435,-202.1796
DATA,-21.1622,-0.6495,158617,-21.8117
DATA,0.2213,0.0169,158798,0.2383
DATA,-51.6435,-0.2920,158979,-51.9356
DATA,-146.7629,-0.2312,159161,-146.9941
DATA,-183.0829,-0.1837,159342,-183.2666
DATA,-142.3112,-0.2024,159524,-142.5136
DATA,-12.0183,-0.1665,159705,-12.1847
DATA,-0.0841,-0.4268,159886,-0.5110
DATA,-0.0017,-0.2087,160068,-0.2103
DATA,-0.0084,-0.2830,160340,-0.2914
DATA,-0.0496,-0.0487,160521,-0.0984
DATA,0.0649,-17.0884,160702,-17.0235
DATA,-6.2382,-125.3413,160884,-131.5795
DATA,-43.1610,-291.1539,161065,-334.3149
DATA,-96.3890,-363.2697,161247,-459.6587
DATA,-125.1945,-363.8055,161428,-489.0001
DATA,-18.4539,-36.9586,161609,-55.4125
DATA,0.8261,-0.1690,161791,0.6571
DATA,-9.5080,-80.1404,162063,-89.6484
DATA,-99.9813,-220.7876,162244,-320.7689
DATA,-142.9231,-304.7735,162426,-447.6966
DATA,-155.5571,-312.8148,162607,-468.3719
DATA,-156.6156,-289.0183,162788,-445.6339
DATA,-12.8015,-6.0608,162970,-18.8623
DATA,-0.3012,-0.5918,163151,-0.8930
DATA,-0.2996,-0.7454,163332,-1.0450
DATA,-0.2381,-0.4499,163514,-0.6880
DATA,0.2469,0.1623,163695,0.4093
DATA,-0.0011,-0.2445,163967,-0.2456
DATA,0.1529,-0.2543,164149,-0.1015
DATA,-0.0481,-0.2717,164330,-0.3199
DATA,-0.0551,-0.2778,164511,-0.3329
DATA,-0.0546,-0.2957,164693,-0.3503
DATA,-0.0509,-0.3012,164874,-0.3521
DATA,-0.0456,-0.2570,165055,-0.3027
