%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.1697,-6.0606,662944,-5.8909
DATA,0.1656,-6.0306,663125,-5.8651
DATA,0.1730,-5.9905,663307,-5.8175
DATA,0.1779,-6.0273,663488,-5.8493
DATA,0.1557,-6.0102,663669,-5.8545
DATA,0.1601,-5.8619,663941,-5.7018
DATA,0.1654,-0.7592,664123,-0.5938
DATA,0.2966,-0.0349,664304,0.2617
DATA,0.8418,0.6120,664485,1.4539
DATA,0.5394,-0.5559,664667,-0.0165
DATA,0.0049,-0.9571,664848,-0.9522
DATA,0.0956,-0.4639,665029,-0.3682
DATA,0.0357,-0.8149,665211,-0.7792
DATA,0.1290,-0.6373,665392,-0.5084
DATA,0.4223,-0.1605,665573,0.2618
DATA,0.2176,-0.3093,665845,-0.0917
DATA,0.2209,-0.2820,666027,-0.0612
DATA,0.3792,-0.2606,666208,0.1186
DATA,0.2308,-0.4149,666389,-0.1841
DATA,0.3249,-0.4116,666571,-0.0868
DATA,0.4482,0.0202,666752,0.4684
DATA,0.1881,-0.3282,666933,-0.1401
DATA,0.4073,-0.3708,667115,0.0365
DATA,0.5818,0.2705,667296,0.8524
DATA,0.1085,-1.5191,667568,-1.4106
DATA,-0.4678,-3.9288,667749,-4.3965
DATA,-0.4127,-3.6875,667931,-4.1002
DATA,-0.2036,-1.0537,668112,-1.2573
DATA,-0.1358,-0.7870,668293,-0.9229
DATA,0.5343,-0.3451,668475,0.1892
DATA,-0.1248,-1.0290,668656,-1.1538
DATA,0.3450,-0.2364,668837,0.1087
DATA,0.1903,-0.6549,669019,-0.4646
DATA,0.2237,-0.4902,669200,-0.2665
DATA,0.2870,-0.2544,669472,0.0327
DATA,0.3823,-0.7706,669653,-0.3883
DATA,-0.0215,-0.8515,669835,-0.8730
DATA,0.1983,-0.7385,670016,-0.5402
DATA,0.0301,-0.7431,670197,-0.7131
DATA,0.0132,0.0945,670379,0.1077
DATA,0.1572,-0.5441,670560,-0.3869
DATA,0.3332,12.8954,670741,13.2285
DATA,7.5303,17.9326,670923,25.4629
DATA,29.7107,-16.4371,671195,13.2736
DATA,3.7847,-97.2379,671376,-93.4532
DATA,-43.5764,-175.2182,671557,-218.7946
DATA,-12.6965,40.2273,671739,27.5308
DATA,26.3968,144.0509,671920,170.4477
DATA,4.1118,171.0919,672101,175.2038
DATA,21.1581,267.7999,672283,288.9580
DATA,54.7706,223.1403,672464,277.9108
DATA,27.8031,52.7750,672645,80.5781
DATA,-29.9116,38.0294,672827,8.1178
DATA,-77.2773,-12.4186,673099,-89.6959
DATA,-125.4653,-59.7927,673280,-185.2580
DATA,-62.0594,132.2616,673461,70.2022
DATA,20.0726,147.2038,673643,167.2764
DATA,13.7714,171.6794,673824,185.4508
DATA,25.9616,143.3355,674005,169.2971
DATA,59.9663,27.2362,674187,87.2025
DATA,-38.9244,-18.1985,674368,-57.1229
DATA,-102.1140,-109.2905,674549,-211.4045
DATA,-153.9529,-179.0909,674731,-333.0438
DATA,-118.2610,53.3644,675003,-64.8966
DATA,4.8897,170.9611,675184,175.8508
DATA,17.2604,208.8200,675365,226.0804
DATA,35.9353,68.3533,675547,104.2885
DATA,14.6733,-106.9216,675728,-92.2484
DATA,-111.6778,-257.9492,675909,-369.6270
DATA,-131.8464,-133.9636,676091,-265.8100
DATA,-129.8779,-171.5685,676272,-301.4464
DATA,-31.3094,32.1656,676453,0.8562
DATA,21.1739,210.5485,676725,231.7224
DATA,20.9137,244.8063,676906,265.7199
DATA,40.3556,49.6328,677088,89.9883
DATA,-19.1761,-100.2100,677269,-119.3861
DATA,-101.2923,-236.7352,677450,-338.0275
DATA,-144.8329,-305.6890,677632,-450.5219
DATA,-66.8259,19.2469,677813,-47.5790
