%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.2560,-0.2602,341971,-0.0042
DATA,0.2792,-0.2563,342152,0.0229
DATA,0.2521,-0.2932,342334,-0.0411
DATA,0.2618,-0.2734,342515,-0.0117
DATA,0.2910,-0.2881,342696,0.0029
DATA,0.2709,-0.2515,342968,0.0194
DATA,0.2723,-0.2592,343150,0.0131
DATA,0.2836,-0.2879,343331,-0.0042
DATA,0.2794,-0.2985,343513,-0.0191
DATA,0.5639,1.3689,343694,1.9328
DATA,0.8344,0.2095,343875,1.0439
DATA,-0.5117,-1.4408,344057,-1.9525
DATA,-0.2485,-1.0255,344238,-1.2739
DATA,0.3009,-0.1291,344419,0.1718
DATA,0.3896,0.1343,344691,0.5239
DATA,0.1869,-0.6753,344873,-0.4884
DATA,-0.0941,-0.2248,345054,-0.3189
DATA,0.3900,-0.2514,345235,0.1387
DATA,0.1657,-0.5751,345417,-0.4094
DATA,0.2284,0.8171,345598,1.0455
DATA,5.9048,-0.7074,345780,5.1973
DATA,-26.7480,95.9558,345961,69.2078
DATA,-17.2118,60.9721,346142,43.7603
DATA,17.2642,-30.3645,346324,-13.1003
DATA,32.4783,-127.4847,346596,-95.0064
DATA,55.7379,-216.8393,346777,-161.1014
DATA,45.3999,-344.9857,346958,-299.5858
DATA,9.9631,-492.2350,347140,-482.2719
DATA,-97.4716,-529.6169,347321,-627.0884
DATA,-174.2211,-442.9160,347502,-617.1371
DATA,-253.6305,-334.4783,347684,-588.1088
DATA,-211.6473,-237.7453,347865,-449.3927
DATA,-230.4860,-213.6662,348046,-444.1521
DATA,-277.4122,-56.8021,348318,-334.2143
DATA,-187.6006,131.8911,348500,-55.7095
DATA,-45.0544,65.0139,348681,19.9595
DATA,-0.0161,27.4405,348863,27.4244
DATA,-0.1065,19.4213,349044,19.3148
DATA,0.1581,18.4123,349225,18.5704
DATA,-28.4136,-48.8547,349407,-77.2682
DATA,-146.0377,-163.1979,349588,-309.2356
DATA,-152.3789,-93.9437,349769,-246.3225
DATA,-171.0598,-171.4427,349951,-342.5025
DATA,-16.9176,3.4545,350223,-13.4630
DATA,-0.1484,22.9738,350404,22.8254
DATA,-0.1219,62.9744,350585,62.8525
DATA,4.5867,-13.2362,350767,-8.6496
DATA,85.2799,-321.3686,350948,-236.0887
DATA,55.3761,-452.2788,351130,-396.9027
DATA,-24.5073,-525.5177,351311,-550.0250
DATA,-24.9837,-469.6596,351492,-494.6432
DATA,4.3507,-611.6274,351674,-607.2767
DATA,-14.8516,-581.3102,351946,-596.1619
DATA,-12.1104,-247.8560,352127,-259.9664
DATA,51.3333,53.6639,352308,104.9972
DATA,3.0107,59.4940,352490,62.5047
DATA,-0.2332,30.2823,352671,30.0491
DATA,-0.6418,13.2933,352852,12.6514
DATA,13.7947,-144.2131,353034,-130.4184
DATA,-0.4004,-351.5948,353215,-351.9952
DATA,-94.5953,-407.2095,353396,-501.8048
DATA,-134.7478,-348.1321,353578,-482.8799
DATA,-148.0056,-346.4851,353850,-494.4907
DATA,-206.2307,-323.5942,354031,-529.8248
DATA,-127.0507,-21.9992,354213,-149.0499
DATA,-1.0138,0.9438,354394,-0.0701
DATA,-0.2537,1.0658,354575,0.8121
DATA,-0.6527,35.3485,354757,34.6957
DATA,21.6384,-19.4520,354938,2.1865
DATA,121.2882,-328.3191,355119,-207.0309
DATA,224.6924,-483.8874,355301,-259.1949
DATA,227.1961,-532.2348,355482,-305.0387
DATA,75.8719,-386.0909,355754,-310.2189
DATA,6.6173,-317.6733,355935,-311.0561
DATA,-125.4638,-359.3947,356117,-484.8586
DATA,-173.0249,-146.2913,356298,-319.3162
DATA,-15.3120,-0.6877,356480,-15.9996
DATA,0.0377,-0.5721,356661,-0.5345
DATA,-0.1466,-0.9531,356842,-1.0997
DATA,0.4699,-0.3285,357024,0.1414
DATA,-0.3524,-1.0712,357205,-1.4236
DATA,0.7129,0.6299,357477,1.3428
DATA,0.4871,-0.1383,357658,0.3488
DATA,0.4298,0.0728,357840,0.5026
DATA,0.3897,-0.2288,358021,0.1609
DATA,0.3322,-0.2117,358202,0.1205
DATA,0.3374,-0.2621,358384,0.0753
DATA,0.3189,-0.2324,358565,0.0865
DATA,0.3176,-0.2714,358746,0.0462
DATA,0.3442,-0.2243,358928,0.1199
