%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.3822,0.8111,151006,1.1932
DATA,0.3669,0.7881,151187,1.1550
DATA,0.3805,0.7535,151367,1.1340
DATA,0.4007,0.7696,151548,1.1703
DATA,0.4046,0.7602,151729,1.1648
DATA,0.3816,0.7896,151910,1.1713
DATA,0.3871,0.8163,152091,1.2034
DATA,0.3505,0.7557,152272,1.1061
DATA,0.3755,0.7723,152543,1.1478
DATA,0.5389,-0.3026,152724,0.2363
DATA,-0.5513,-0.1190,152905,-0.6703
DATA,-0.0324,0.5674,153086,0.5350
DATA,0.1425,0.9611,153267,1.1036
DATA,0.9646,1.3831,153448,2.3477
DATA,0.7050,1.1365,153629,1.8415
DATA,0.3573,0.6817,153810,1.0390
DATA,0.4025,0.8099,153990,1.2124
DATA,0.2285,0.5664,154262,0.7949
DATA,0.2505,0.4185,154443,0.6690
DATA,0.1929,0.2397,154624,0.4327
DATA,-0.0116,-0.0818,154804,-0.0934
DATA,-0.0144,-0.1701,154985,-0.1845
DATA,-0.0757,-0.1804,155166,-0.2561
DATA,-0.2616,-0.3410,155347,-0.6026
DATA,0.3032,0.6912,155528,0.9944
DATA,0.2223,0.2772,155709,0.4995
DATA,-0.0019,-0.1075,155980,-0.1094
DATA,-0.0992,0.2768,156161,0.1776
DATA,0.0772,-0.1035,156342,-0.0263
DATA,-0.2485,-0.1094,156523,-0.3579
DATA,-0.0667,-0.0999,156704,-0.1666
DATA,-0.0790,-0.1076,156885,-0.1866
DATA,-0.1072,-0.1239,157066,-0.2312
DATA,-0.0269,-0.0894,157247,-0.1162
DATA,-0.2082,-0.2635,157428,-0.4717
DATA,0.0593,-0.0048,157608,0.0545
DATA,-0.0326,0.0740,157880,0.0414
DATA,0.0191,0.2201,158061,0.2392
DATA,0.0232,-0.1563,158242,-0.1331
DATA,-0.0560,0.0373,158422,-0.0187
DATA,-0.0175,-0.1097,158603,-0.1272
DATA,-0.0850,-0.1177,158784,-0.2027
DATA,-0.1182,-0.2736,158965,-0.3918
DATA,0.3346,0.8150,159146,1.1496
DATA,1.6685,2.9896,159327,4.6581
DATA,3.5157,6.5017,159598,10.0175
DATA,4.8651,8.0577,159779,12.9228
DATA,5.7285,9.4697,159960,15.1983
DATA,6.3385,10.0391,160141,16.3776
DATA,6.5295,10.0468,160322,16.5764
DATA,6.5227,10.1034,160503,16.6261
DATA,6.4610,9.9875,160684,16.4485
DATA,6.4379,9.9628,160865,16.4006
DATA,6.4570,9.8169,161045,16.2739
DATA,6.4957,9.9907,161226,16.4863
DATA,6.5015,9.8110,161498,16.3125
DATA,6.4373,9.9717,161679,16.4090
DATA,6.5169,9.9567,161859,16.4736
DATA,6.5142,9.9401,162040,16.4542
DATA,6.5261,10.0085,162221,16.5346
DATA,6.4731,10.0156,162402,16.4886
DATA,6.5084,9.9445,162583,16.4529
DATA,6.4061,9.7639,162764,16.1700
DATA,6.5219,10.0123,162945,16.5343
