%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,6.4781,10.0414,267529,16.5195
DATA,6.4455,10.0291,267801,16.4746
DATA,6.4949,10.0313,267982,16.5261
DATA,6.4604,9.9993,268163,16.4597
DATA,6.4631,10.0650,268344,16.5281
DATA,6.4698,9.9802,268525,16.4500
DATA,6.5025,10.0348,268706,16.5373
DATA,6.3810,9.8516,268887,16.2326
DATA,6.1582,9.3764,269067,15.5346
DATA,5.5294,8.1944,269248,13.7239
DATA,3.9647,6.1587,269429,10.1234
DATA,2.7383,4.0378,269701,6.7760
DATA,1.8511,1.2942,269882,3.1453
DATA,0.5235,0.5406,270063,1.0640
DATA,0.0634,-0.1592,270244,-0.0957
DATA,-0.2523,-0.1211,270425,-0.3734
DATA,-0.0962,-0.0787,270606,-0.1750
DATA,-0.1485,-0.0356,270787,-0.1841
DATA,-0.1754,-0.1548,270968,-0.3302
DATA,-0.1142,-0.0091,271148,-0.1233
DATA,-0.1394,-0.0360,271420,-0.1753
DATA,-0.1772,-0.0937,271601,-0.2709
DATA,-0.1626,-0.0673,271782,-0.2299
DATA,-0.1534,-0.1529,271963,-0.3063
DATA,-0.2141,-0.0388,272144,-0.2529
DATA,-0.1789,-0.0599,272325,-0.2388
DATA,-0.1398,-0.0224,272506,-0.1622
DATA,-0.1706,-0.0819,272687,-0.2525
DATA,-0.1883,-0.1036,272868,-0.2918
DATA,-0.2618,-0.3100,273049,-0.5718
DATA,-0.0413,0.7958,273320,0.7545
DATA,1.8702,5.7504,273501,7.6205
DATA,5.2258,8.4751,273682,13.7008
DATA,6.0408,9.9797,273863,16.0205
DATA,6.4468,10.0402,274044,16.4869
DATA,6.5382,10.2997,274225,16.8380
DATA,6.5196,10.0333,274406,16.5529
DATA,6.4603,9.9511,274587,16.4114
DATA,6.3670,10.0033,274768,16.3703
DATA,6.4854,9.8857,275039,16.3711
DATA,6.4409,10.0212,275220,16.4621
DATA,6.4873,10.0297,275401,16.5170
DATA,6.4266,9.9819,275582,16.4085
DATA,6.4695,9.9887,275763,16.4582
DATA,6.4933,10.0253,275944,16.5186
DATA,6.4511,9.9620,276125,16.4130
DATA,6.4779,10.0479,276306,16.5258
DATA,6.4402,9.9318,276487,16.3720
DATA,6.5177,10.0326,276668,16.5502
DATA,6.4686,10.0540,276940,16.5227
DATA,6.4556,10.0353,277120,16.4908
DATA,6.4813,10.0324,277301,16.5137
DATA,6.4164,9.9713,277482,16.3877
DATA,6.4657,10.0137,277663,16.4794
DATA,6.4452,9.9776,277844,16.4228
DATA,6.4867,10.0351,278025,16.5218
DATA,6.4175,9.9502,278206,16.3676
DATA,6.4384,10.0486,278387,16.4870
DATA,6.4558,10.0107,278659,16.4664
DATA,6.4100,9.9681,278840,16.3781
DATA,6.4772,10.0228,279021,16.5000
DATA,6.4535,10.0993,279202,16.5528
DATA,6.6323,10.3185,279383,16.9509
DATA,6.2131,9.2095,279564,15.4226
DATA,4.5297,6.4492,279745,10.9789
DATA,1.8875,2.3157,279926,4.2032
