%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,6.2879,9.8904,353848,16.1783
DATA,6.2729,9.8609,354029,16.1338
DATA,6.3037,9.8330,354300,16.1367
DATA,6.2752,9.8566,354481,16.1318
DATA,6.2904,9.8382,354662,16.1285
DATA,6.2745,9.9073,354843,16.1818
DATA,6.3116,9.8747,355024,16.1863
DATA,6.2822,9.9148,355205,16.1971
DATA,6.3033,9.8391,355386,16.1424
DATA,6.2955,9.8869,355567,16.1824
DATA,6.3197,9.8908,355748,16.2104
DATA,6.2784,9.9833,355929,16.2617
DATA,6.1853,9.4528,356200,15.6381
DATA,6.1102,9.5964,356381,15.7066
DATA,6.1412,9.3962,356562,15.5374
DATA,6.4340,10.1733,356743,16.6073
DATA,6.1435,9.7188,356924,15.8623
DATA,6.2054,9.7546,357105,15.9600
DATA,6.1976,9.5434,357286,15.7410
DATA,6.2408,9.6584,357467,15.8992
DATA,6.2060,9.7378,357648,15.9438
DATA,6.4983,9.8569,357919,16.3553
DATA,6.3291,9.9597,358100,16.2889
DATA,6.3695,9.9583,358281,16.3278
DATA,6.6071,10.0278,358462,16.6348
DATA,6.3345,9.8743,358643,16.2088
DATA,6.5042,10.0555,358824,16.5596
DATA,6.3567,11.1332,359005,17.4898
DATA,7.6901,14.7840,359186,22.4741
DATA,-22.1229,11.0299,359366,-11.0930
DATA,-33.1331,-77.9976,359547,-111.1307
DATA,-53.6015,-256.1524,359819,-309.7539
DATA,-63.3392,-376.1474,360000,-439.4866
DATA,-69.7948,-332.3814,360181,-402.1762
DATA,3.8784,-58.8505,360362,-54.9721
DATA,31.9747,-25.1754,360543,6.7992
DATA,38.3420,-45.9107,360723,-7.5687
DATA,32.6665,-0.7513,360904,31.9153
DATA,8.9236,46.9203,361085,55.8439
DATA,7.1900,48.3611,361266,55.5511
DATA,1.6679,12.5339,361538,14.2018
DATA,6.8530,14.3018,361719,21.1548
DATA,6.0754,18.8705,361900,24.9459
DATA,27.5160,-90.6245,362081,-63.1085
DATA,56.6485,-284.4638,362262,-227.8153
DATA,18.8838,-376.1792,362442,-357.2953
DATA,-22.9340,-367.4478,362623,-390.3819
DATA,-55.1402,-252.9662,362804,-308.1064
DATA,-15.4489,23.8815,362985,8.4325
DATA,7.8198,25.2506,363166,33.0704
DATA,9.0243,35.4777,363438,44.5019
DATA,9.3342,53.9458,363619,63.2800
DATA,9.6892,49.5684,363800,59.2576
DATA,47.9065,-138.6759,363980,-90.7694
DATA,11.8447,-229.9016,364161,-218.0568
DATA,-31.6362,-233.0790,364342,-264.7151
DATA,-48.8909,-212.8735,364523,-261.7645
DATA,-79.5783,-252.8561,364704,-332.4344
DATA,-84.2558,-247.0604,364885,-331.3162
DATA,-107.4898,-94.5058,365157,-201.9955
DATA,-88.0100,56.1459,365338,-31.8641
DATA,-19.8579,54.4692,365519,34.6113
DATA,12.9767,94.4402,365699,107.4169
DATA,17.5091,134.9509,365880,152.4600
DATA,21.6379,160.9874,366061,182.6252
DATA,17.7108,143.6089,366242,161.3198
DATA,12.7255,115.9845,366423,128.7101
DATA,13.5566,115.4494,366604,129.0060
DATA,-31.1673,-21.1409,366785,-52.3082
DATA,-133.7941,-182.4255,367056,-316.2196
DATA,-193.3258,-99.1416,367237,-292.4673
DATA,-216.9065,-119.3057,367418,-336.2122
DATA,-224.1081,-21.7220,367599,-245.8302
DATA,-173.4250,157.4938,367780,-15.9312
DATA,-1.0009,13.5556,367961,12.5546
DATA,5.3894,8.1442,368142,13.5336
DATA,3.9834,6.2518,368323,10.2352
DATA,4.0294,6.2438,368504,10.2732
DATA,4.6443,-4.2382,368775,0.4061
DATA,10.9250,-23.9385,368956,-13.0135
DATA,-78.6647,24.8509,369137,-53.8138
DATA,-76.2574,-7.4073,369318,-83.6647
DATA,-61.3833,-28.3821,369499,-89.7654
DATA,-56.1650,-122.9427,369680,-179.1077
DATA,-108.5489,-247.0954,369861,-355.6443
DATA,-119.9040,-228.3145,370042,-348.2184
DATA,-102.0001,4.7290,370223,-97.2711
DATA,-4.3010,85.3604,370404,81.0594
DATA,10.1921,12.6575,370675,22.8496
DATA,5.5977,8.8030,370856,14.4007
DATA,4.9802,7.5181,371037,12.4983
DATA,21.1149,-42.0462,371218,-20.9313
DATA,-60.0660,-4.2059,371399,-64.2719
DATA,-109.0494,-75.3217,371580,-184.3711
DATA,-99.2499,-209.8972,371761,-309.1471
DATA,-114.6424,-344.3729,371942,-459.0153
DATA,-114.9578,-366.4626,372123,-481.4204
DATA,-101.8051,-221.8019,372394,-323.6069
DATA,-84.9432,-245.6230,372575,-330.5662
DATA,-39.4075,-11.1784,372756,-50.5858
DATA,8.1621,9.9686,372937,18.1307
DATA,8.9237,15.5926,373118,24.5163
DATA,10.9654,27.3177,373299,38.2831
DATA,11.8612,51.4177,373480,63.2789
DATA,50.4864,-62.1808,373661,-11.6944
DATA,0.2284,-90.2161,373842,-89.9877
DATA,-31.4827,-204.1852,374023,-235.6680
DATA,-69.2683,-411.1774,374294,-480.4457
DATA,-56.5236,-306.9341,374475,-363.4578
DATA,-69.9494,-211.0164,374656,-280.9658
DATA,-22.2529,32.1244,374837,9.8715
DATA,9.3926,22.1504,375018,31.5429
DATA,8.2084,19.9827,375199,28.1911
DATA,6.9514,18.5512,375380,25.5026
DATA,27.0256,-103.5603,375561,-76.5347
DATA,-84.0429,-164.4486,375742,-248.4915
DATA,-139.7537,-218.3265,376013,-358.0802
DATA,-140.1500,-292.1670,376194,-432.3170
DATA,-117.3903,-107.2756,376375,-224.6659
DATA,-36.4768,60.2256,376556,23.7488
DATA,6.2222,25.7136,376737,31.9358
DATA,5.4581,40.6727,376918,46.1308
DATA,9.7610,65.3803,377099,75.1412
DATA,13.4133,87.7110,377280,101.1243
DATA,28.5498,-2.4261,377461,26.1237
DATA,-48.1607,3.5542,377642,-44.6064
DATA,-67.5562,-44.3209,377913,-111.8771
DATA,-117.5394,-138.6289,378094,-256.1682
DATA,-141.6534,-176.9855,378275,-318.6389
DATA,-133.0436,-29.0487,378456,-162.0923
DATA,-15.5091,38.2780,378637,22.7689
DATA,9.8483,32.8398,378818,42.6881
DATA,5.1450,26.9235,378999,32.0685
DATA,4.8470,15.5007,379180,20.3477
DATA,4.8162,4.9505,379361,9.7667
DATA,25.9562,52.0218,379632,77.9780
DATA,-49.7966,284.5855,379813,234.7889
DATA,-158.1729,297.9649,379994,139.7920
DATA,-132.1420,218.6865,380175,86.5445
DATA,-64.5016,67.5789,380356,3.0773
DATA,-82.3443,-167.6375,380537,-249.9818
DATA,-158.3580,-257.0097,380718,-415.3678
DATA,-145.1761,-271.8988,380899,-417.0749
DATA,-114.8092,-271.3680,381080,-386.1772
DATA,-107.8637,-143.1504,381260,-251.0141
DATA,-104.1105,27.0997,381532,-77.0108
DATA,-28.2736,38.3773,381713,10.1038
DATA,5.9103,19.5968,381894,25.5072
DATA,5.7664,12.7947,382075,18.5611
DATA,6.2555,7.4846,382256,13.7401
DATA,2.6980,3.4217,382437,6.1198
DATA,4.2851,6.4135,382617,10.6986
DATA,2.4797,1.4553,382798,3.9350
DATA,-32.2738,17.7701,382979,-14.5037
DATA,-37.7120,30.4726,383251,-7.2394
DATA,-46.2515,-33.7490,383432,-80.0005
DATA,-41.3608,6.7910,383613,-34.5698
DATA,-37.2454,95.1148,383793,57.8694
DATA,-89.0872,167.1703,383974,78.0831
DATA,-96.7592,165.5727,384155,68.8134
DATA,-103.6243,-108.9250,384336,-212.5493
DATA,-116.6649,-269.6917,384517,-386.3566
DATA,-104.3002,-122.4800,384698,-226.7803
DATA,-106.4616,102.7271,384970,-3.7344
DATA,-1.4198,114.7153,385150,113.2955
DATA,17.1514,96.5334,385331,113.6848
DATA,11.7762,36.7062,385512,48.4824
DATA,1.5834,-68.1801,385693,-66.5967
