%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,6.6741,9.8858,536370,16.5599
DATA,6.4001,9.6234,536551,16.0235
DATA,6.5768,9.8580,536822,16.4348
DATA,6.5019,9.6809,537003,16.1828
DATA,6.4349,9.7802,537184,16.2150
DATA,6.5862,9.6717,537365,16.2579
DATA,6.4842,9.5235,537546,16.0077
DATA,6.4510,9.7012,537727,16.1522
DATA,6.7407,10.0465,537909,16.7872
DATA,6.5289,9.9091,538090,16.4381
DATA,6.4963,9.8485,538271,16.3448
DATA,6.4261,9.8100,538452,16.2361
DATA,7.5840,9.6119,538723,17.1959
DATA,6.4501,9.7998,538904,16.2500
DATA,6.2026,11.1937,539085,17.3963
DATA,19.5405,-21.0990,539266,-1.5585
DATA,18.1556,-8.1609,539447,9.9948
DATA,-16.7765,63.4260,539628,46.6495
DATA,-40.0891,104.8103,539809,64.7211
DATA,-87.0736,164.5362,539990,77.4626
DATA,-85.5283,169.5936,540171,84.0653
DATA,-85.4315,182.0062,540443,96.5747
DATA,-89.9888,183.3208,540624,93.3319
DATA,-111.1213,175.0042,540805,63.8828
DATA,-122.7932,98.5209,540986,-24.2723
DATA,-156.6292,14.9877,541167,-141.6416
DATA,-15.7454,72.6578,541348,56.9124
DATA,11.5452,59.6432,541529,71.1884
DATA,7.5946,64.5438,541710,72.1384
DATA,11.4738,86.9183,541891,98.3921
DATA,8.7383,-79.7083,542072,-70.9700
DATA,-31.5071,-250.5694,542344,-282.0766
DATA,-58.3770,-103.3258,542525,-161.7028
DATA,32.0845,57.8833,542706,89.9678
DATA,10.7985,76.0286,542887,86.8271
DATA,16.2152,104.4757,543068,120.6910
DATA,34.1672,66.4351,543249,100.6023
DATA,-31.5350,113.6433,543430,82.1083
DATA,-146.9613,167.3093,543611,20.3480
DATA,-185.2111,137.2025,543792,-48.0085
DATA,-229.9506,12.0058,544063,-217.9448
DATA,-220.5434,-11.8497,544244,-232.3931
DATA,-67.7730,82.8772,544425,15.1042
DATA,7.9694,64.2446,544606,72.2141
DATA,6.3329,56.1160,544787,62.4489
DATA,6.9512,46.8705,544968,53.8217
DATA,9.8222,6.3165,545149,16.1386
DATA,14.5677,-127.2768,545330,-112.7092
DATA,-91.5842,-191.1780,545511,-282.7622
DATA,-112.7950,-107.2618,545692,-220.0568
DATA,27.1787,99.3273,545964,126.5060
DATA,13.2756,169.5327,546145,182.8083
DATA,7.3404,118.3488,546326,125.6893
DATA,-2.7058,56.7316,546507,54.0258
DATA,42.4063,-69.0818,546688,-26.6755
DATA,5.2225,-146.4507,546869,-141.2282
DATA,-61.8577,-230.5511,547050,-292.4088
DATA,-68.4041,-129.7916,547231,-198.1957
DATA,41.8864,27.5476,547412,69.4340
DATA,13.4782,112.1926,547684,125.6709
DATA,14.8360,124.3161,547865,139.1521
DATA,15.2043,133.0612,548046,148.2655
DATA,-0.0537,76.0057,548227,75.9521
DATA,-36.9991,5.4010,548408,-31.5981
DATA,-187.9001,-172.2427,548589,-360.1428
DATA,-158.2841,-113.3223,548770,-271.6065
DATA,-22.5432,39.3213,548951,16.7781
DATA,16.2641,127.2848,549132,143.5489
DATA,15.9741,171.6158,549313,187.5899
DATA,18.1593,166.1402,549584,184.2995
DATA,15.2871,-82.8329,549765,-67.5457
DATA,-51.4744,-160.6656,549946,-212.1400
DATA,-108.6100,-243.6622,550127,-352.2722
DATA,-130.5676,-217.4423,550308,-348.0099
DATA,-92.8663,-206.0862,550489,-298.9525
DATA,-6.8500,8.4162,550670,1.5661
DATA,14.7227,114.3929,550851,129.1156
DATA,10.8529,169.5975,551032,180.4504
DATA,15.4412,146.7201,551304,162.1613
DATA,4.0897,3.5653,551485,7.6550
DATA,-133.3960,-35.1740,551666,-168.5700
DATA,-215.8704,-113.2051,551847,-329.0755
DATA,-204.3116,-145.3637,552028,-349.6752
DATA,-146.3609,-124.4023,552209,-270.7633
DATA,23.8554,72.5914,552390,96.4468
DATA,6.9663,10.9885,552571,17.9548
DATA,6.1641,9.4944,552752,15.6585
DATA,6.1124,9.4125,552933,15.5249
DATA,6.5409,9.8895,553204,16.4304
DATA,6.3811,9.6062,553385,15.9873
DATA,6.4347,9.9339,553566,16.3685
DATA,6.4131,9.6527,553747,16.0658
DATA,6.3633,9.7125,553929,16.0758
DATA,6.4270,9.8456,554110,16.2726
DATA,6.4067,9.8193,554291,16.2260
DATA,6.3806,9.7779,554472,16.1585
DATA,6.3853,9.6930,554653,16.0783
DATA,6.4229,9.7828,554924,16.2056
DATA,6.4041,9.8665,555105,16.2706
