%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,6.0323,9.3357,484602,15.3680
DATA,6.3781,9.6984,484783,16.0764
DATA,6.3927,9.5255,484964,15.9182
DATA,6.2940,9.2296,485145,15.5236
DATA,6.1354,9.0364,485326,15.1719
DATA,4.2592,4.9071,485507,9.1663
DATA,6.8844,9.1837,485688,16.0682
DATA,5.3925,8.3413,485869,13.7338
DATA,5.9863,9.5755,486140,15.5619
DATA,6.4319,10.5133,486321,16.9452
DATA,6.5955,9.8652,486502,16.4607
DATA,6.2260,8.6614,486683,14.8874
DATA,6.3144,9.9694,486864,16.2837
DATA,6.5734,9.8508,487045,16.4242
DATA,6.4019,9.6602,487226,16.0621
DATA,6.1749,9.8751,487407,16.0500
DATA,6.3271,9.7220,487588,16.0491
DATA,6.4508,9.7279,487769,16.1787
DATA,6.6087,9.6806,488041,16.2893
DATA,6.4790,10.1837,488222,16.6627
DATA,6.5578,9.5668,488403,16.1246
DATA,6.4683,9.9287,488584,16.3970
DATA,6.5298,9.8592,488765,16.3890
DATA,6.7746,9.3112,488946,16.0858
DATA,6.6015,10.1344,489127,16.7359
DATA,6.4774,9.8868,489308,16.3642
DATA,6.4975,10.1573,489489,16.6548
DATA,6.0695,8.9773,489760,15.0468
DATA,5.8649,8.5714,489941,14.4363
DATA,6.0777,9.6967,490122,15.7744
DATA,6.4550,10.0799,490303,16.5349
DATA,6.6849,9.8187,490484,16.5035
DATA,6.3327,9.6240,490665,15.9568
DATA,6.7631,10.3918,490846,17.1548
DATA,6.6789,9.8036,491027,16.4826
DATA,6.4788,9.9411,491208,16.4199
DATA,6.4804,9.8122,491389,16.2927
DATA,6.3800,9.9198,491661,16.2998
DATA,7.7501,16.3984,491841,24.1486
DATA,-1.3730,12.4366,492022,11.0636
DATA,-36.9483,-23.0163,492203,-59.9647
DATA,-31.0634,12.4613,492384,-18.6021
DATA,5.7269,10.2493,492565,15.9761
DATA,3.6746,18.0292,492746,21.7038
DATA,-68.9329,33.8465,492927,-35.0864
DATA,-87.5424,-18.7336,493109,-106.2760
DATA,-10.5626,-112.1526,493380,-122.7151
DATA,47.4395,13.5695,493561,61.0090
DATA,13.3401,13.6452,493742,26.9853
DATA,5.9407,10.7178,493923,16.6585
DATA,-76.7313,-10.7079,494104,-87.4391
DATA,-202.8076,-140.9076,494285,-343.7152
DATA,-160.4455,-102.0106,494466,-262.4561
DATA,-60.8098,-34.6472,494647,-95.4571
DATA,23.5653,-12.7325,494828,10.8328
DATA,34.7206,-2.0802,495009,32.6404
DATA,6.6560,7.2227,495280,13.8787
DATA,6.3459,1.6202,495461,7.9661
DATA,6.3209,9.0230,495642,15.3438
DATA,6.0130,9.6760,495823,15.6890
DATA,6.4112,9.5070,496005,15.9182
DATA,5.8459,8.4167,496186,14.2626
DATA,5.6463,8.8105,496367,14.4567
DATA,5.7121,8.4141,496548,14.1262
DATA,6.1016,9.0365,496728,15.1381
DATA,6.1216,9.8606,497000,15.9822
DATA,5.9003,23.2453,497181,29.1456
DATA,15.2533,20.1041,497362,35.3573
DATA,6.2434,21.4388,497543,27.6821
DATA,-3.8454,38.0621,497724,34.2168
DATA,-115.2034,-20.5778,497905,-135.7811
DATA,-213.3953,-101.2219,498086,-314.6172
DATA,-245.6422,-179.8741,498267,-425.5163
DATA,-164.2249,-127.6680,498448,-291.8929
DATA,3.8821,94.7911,498629,98.6732
DATA,7.4111,82.0236,498900,89.4347
DATA,5.9294,106.2599,499081,112.1893
DATA,5.8283,103.0663,499262,108.8947
DATA,6.4928,79.2028,499443,85.6956
DATA,-38.9498,43.1830,499624,4.2333
DATA,-98.5136,-44.4518,499805,-142.9655
DATA,-159.1826,-96.7172,499986,-255.8999
DATA,-210.7251,-57.3970,500167,-268.1221
DATA,-108.0807,-48.9056,500348,-156.9862
DATA,9.3460,63.7937,500620,73.1397
DATA,5.9356,57.6590,500801,63.5946
DATA,5.4378,62.2868,500982,67.7247
DATA,7.1228,59.9621,501163,67.0849
DATA,-16.2986,62.4055,501344,46.1070
DATA,-213.4037,47.8141,501525,-165.5896
DATA,-236.9805,13.4415,501706,-223.5390
DATA,-214.7982,-177.2960,501887,-392.0942
DATA,-82.4431,-75.7396,502068,-158.1827
DATA,21.1941,54.3383,502249,75.5324
DATA,7.4953,67.7524,502520,75.2477
DATA,6.5526,44.6343,502701,51.1869
DATA,0.3320,-77.5988,502882,-77.2669
DATA,-152.0963,-140.9454,503063,-293.0418
DATA,-229.7521,-215.9033,503244,-445.6554
DATA,-166.2873,-131.0138,503425,-297.3012
DATA,-136.8298,-130.3248,503606,-267.1546
DATA,-171.4031,-210.8701,503787,-382.2733
DATA,-93.3510,-101.0140,503968,-194.3650
DATA,-10.4022,70.5062,504240,60.1039
DATA,7.0815,101.8871,504421,108.9687
DATA,6.0159,10.1799,504602,16.1958
DATA,6.4483,9.3340,504783,15.7823
DATA,5.6607,8.3944,504964,14.0551
DATA,5.6050,9.4860,505145,15.0910
DATA,8.2263,20.0925,505326,28.3188
DATA,-42.2251,10.6658,505507,-31.5593
DATA,-175.1915,36.0832,505688,-139.1084
DATA,-141.2554,15.0420,505869,-126.2134
DATA,-185.5352,-67.1248,506141,-252.6600
DATA,-136.5481,144.5857,506322,8.0376
DATA,13.9192,133.5667,506503,147.4859
DATA,5.6928,107.6374,506684,113.3302
DATA,5.6483,41.7252,506865,47.3735
DATA,3.5781,7.8072,507046,11.3852
DATA,-71.8688,-51.0547,507227,-122.9235
DATA,-258.6013,-76.1740,507408,-334.7753
DATA,-182.1924,-47.3416,507589,-229.5340
DATA,-113.5385,-24.9542,507860,-138.4928
DATA,-28.9677,45.4530,508041,16.4853
DATA,5.9005,16.2820,508222,22.1825
DATA,5.5037,8.2588,508403,13.7625
DATA,5.7943,8.9458,508584,14.7401
DATA,5.6572,4.2735,508765,9.9307
DATA,4.6882,8.3669,508946,13.0551
DATA,4.3332,10.5656,509127,14.8988
DATA,-9.7996,9.0821,509308,-0.7176
DATA,-135.0489,56.4332,509489,-78.6157
DATA,-219.9259,-6.7785,509761,-226.7044
DATA,-330.9650,26.5435,509942,-304.4214
DATA,-237.6855,-19.3079,510123,-256.9933
DATA,-190.2257,-83.4132,510304,-273.6389
DATA,-89.5689,61.9009,510485,-27.6681
DATA,7.8350,62.5314,510666,70.3664
DATA,6.2678,74.7049,510847,80.9728
DATA,-13.1861,28.5782,511028,15.3921
DATA,-270.9353,-10.7143,511209,-281.6496
DATA,-325.4964,-55.4819,511480,-380.9783
DATA,-202.4327,-96.6098,511661,-299.0425
DATA,-182.1568,116.8669,511843,-65.2899
DATA,-0.9786,23.7389,512024,22.7603
DATA,6.4832,11.7731,512205,18.2562
DATA,6.4593,9.6733,512386,16.1326
DATA,6.2646,9.2528,512567,15.5174
DATA,6.0455,9.2254,512748,15.2709
DATA,6.3340,9.5302,512929,15.8642
DATA,6.3388,9.6166,513110,15.9554
DATA,6.3013,9.3571,513381,15.6584
DATA,6.2791,9.4624,513562,15.7416
DATA,6.2895,9.4742,513743,15.7637
DATA,6.1777,9.2996,513924,15.4774
DATA,6.3658,9.5365,514105,15.9024
DATA,6.2566,9.4690,514286,15.7256
DATA,6.3294,9.5308,514467,15.8601
DATA,6.2974,9.5154,514648,15.8128
DATA,6.2666,9.4437,514829,15.7103
