%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,6.3613,9.6949,668779,16.0562
DATA,6.4490,9.7517,669051,16.2007
DATA,6.4035,9.7959,669232,16.1994
DATA,6.5006,9.9089,669413,16.4096
DATA,6.4545,9.8729,669594,16.3274
DATA,6.4409,9.7698,669775,16.2107
DATA,6.5625,9.9476,669956,16.5100
DATA,6.4516,9.8559,670137,16.3075
DATA,6.5963,10.0155,670318,16.6118
DATA,6.6876,10.1333,670499,16.8208
DATA,6.3515,9.8027,670770,16.1541
DATA,6.4361,9.7545,670951,16.1905
DATA,6.6003,9.8685,671132,16.4688
DATA,6.4742,9.9165,671314,16.3907
DATA,6.5255,9.9349,671495,16.4604
DATA,6.5216,9.8209,671676,16.3424
DATA,6.5003,9.8420,671857,16.3423
DATA,6.7615,10.3933,672038,17.1548
DATA,6.3293,9.6152,672219,15.9445
DATA,6.5829,10.0725,672400,16.6554
DATA,6.1527,9.7954,672671,15.9481
DATA,6.7397,8.7893,672852,15.5290
DATA,6.2660,10.3405,673033,16.6064
DATA,6.2748,11.8914,673214,18.1661
DATA,6.0710,9.2965,673395,15.3675
DATA,6.1960,9.3468,673576,15.5427
DATA,6.3047,10.8406,673757,17.1454
DATA,6.5612,15.3607,673938,21.9219
DATA,10.0035,13.5978,674119,23.6012
DATA,4.0446,21.6462,674391,25.6908
DATA,6.5038,20.7491,674572,27.2529
DATA,6.3761,5.9156,674753,12.2916
DATA,6.4257,11.2778,674934,17.7034
DATA,5.6758,15.6285,675115,21.3042
DATA,40.9787,-62.4538,675296,-21.4751
DATA,121.7107,-230.5105,675477,-108.7997
DATA,88.0625,-208.5558,675658,-120.4934
DATA,32.7436,-199.6117,675839,-166.8681
DATA,-111.3806,-181.0263,676020,-292.4069
DATA,-142.2093,33.4440,676292,-108.7653
DATA,-58.6851,96.4447,676473,37.7596
DATA,11.6432,48.8918,676654,60.5350
DATA,12.2648,58.6571,676835,70.9219
DATA,12.2382,1.8534,677016,14.0916
DATA,103.5038,-243.5878,677197,-140.0840
DATA,20.2633,-339.5727,677378,-319.3094
DATA,-74.2553,-320.1733,677559,-394.4285
DATA,-36.4125,-309.1055,677740,-345.5180
DATA,70.4239,113.3204,678012,183.7443
DATA,25.8738,109.5848,678193,135.4586
DATA,14.6689,69.1075,678374,83.7764
DATA,122.4997,-332.9705,678555,-210.4708
DATA,101.3086,-349.7350,678736,-248.4264
DATA,44.1586,-327.8773,678917,-283.7187
DATA,-98.8053,-151.3888,679098,-250.1942
DATA,-58.4238,145.5809,679279,87.1571
DATA,19.2239,144.4400,679460,163.6639
DATA,21.7859,176.2612,679641,198.0471
DATA,41.9174,136.8012,679912,178.7186
DATA,58.1307,-158.4895,680093,-100.3588
DATA,-93.8278,-276.5908,680275,-370.4186
DATA,-251.4495,228.0932,680456,-23.3563
DATA,-39.9638,265.5410,680637,225.5772
DATA,18.5337,177.1091,680818,195.6428
DATA,16.1624,199.1017,680999,215.2642
DATA,46.0409,-12.7976,681180,33.2433
DATA,-26.5284,-321.2432,681361,-347.7716
DATA,-133.9382,-259.4192,681632,-393.3575
DATA,-120.1965,160.9324,681813,40.7359
DATA,23.9557,206.7223,681994,230.6780
DATA,10.9830,185.8418,682175,196.8248
DATA,21.4187,-8.7727,682356,12.6461
DATA,77.3458,-225.5959,682537,-148.2501
DATA,-15.0154,-271.8377,682719,-286.8531
DATA,-164.6172,-98.7284,682900,-263.3456
DATA,-216.1868,73.5718,683081,-142.6150
DATA,-31.6516,206.4173,683262,174.7657
DATA,33.6924,226.8435,683533,260.5359
DATA,11.2772,138.4636,683714,149.7408
DATA,42.3124,-85.3823,683895,-43.0699
DATA,-16.5114,-234.1168,684076,-250.6282
DATA,-189.5412,-65.5541,684257,-255.0953
DATA,-168.9138,-157.8884,684438,-326.8022
DATA,-76.5945,-32.1019,684619,-108.6964
DATA,14.3717,88.8494,684800,103.2211
DATA,10.9864,53.7374,684982,64.7238
DATA,5.3572,-1.2702,685253,4.0870
DATA,7.5503,-0.1609,685434,7.3894
DATA,2.4452,-6.1211,685615,-3.6759
DATA,16.6742,-1.1253,685796,15.5490
DATA,29.0984,-194.0654,685977,-164.9670
DATA,-43.8340,-371.9747,686158,-415.8087
DATA,-116.0216,-320.8047,686339,-436.8264
DATA,-137.6022,-128.6255,686520,-266.2278
DATA,-11.1956,18.9094,686701,7.7138
DATA,6.1707,9.1768,686882,15.3475
DATA,6.3338,9.1937,687154,15.5275
DATA,5.5295,7.4732,687335,13.0026
DATA,6.0619,9.8499,687516,15.9119
DATA,6.5142,9.9837,687697,16.4979
DATA,7.0624,10.6373,687878,17.6997
DATA,6.8492,10.5140,688059,17.3633
DATA,6.4911,9.7586,688240,16.2497
DATA,6.4860,9.7055,688421,16.1915
DATA,6.5224,9.7892,688602,16.3116
DATA,6.5192,9.7713,688874,16.2906
DATA,6.5243,9.7997,689055,16.3240
DATA,6.5327,9.8068,689236,16.3395
DATA,6.5261,9.8037,689417,16.3298
DATA,6.5579,9.7934,689598,16.3513
