%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,6.3774,9.8212,623887,16.1985
DATA,6.3362,9.7638,624068,16.1000
DATA,6.3597,9.8156,624249,16.1753
DATA,6.4573,9.5924,624430,16.0497
DATA,6.4034,9.7912,624611,16.1946
DATA,6.3728,9.7567,624792,16.1296
DATA,6.4821,9.6576,624973,16.1397
DATA,6.4315,9.8095,625154,16.2411
DATA,6.5220,9.8947,625335,16.4168
DATA,6.3514,9.5263,625607,15.8778
DATA,6.3438,9.6637,625788,16.0075
DATA,6.4193,9.6874,625969,16.1067
DATA,6.2348,9.5174,626150,15.7522
DATA,6.2803,9.6534,626331,15.9337
DATA,6.3309,9.6581,626512,15.9890
DATA,6.3619,9.3164,626693,15.6783
DATA,6.0091,9.2058,626874,15.2149
DATA,6.3119,9.3786,627055,15.6905
DATA,5.9668,9.2985,627327,15.2653
DATA,6.5000,9.2440,627508,15.7441
DATA,6.0595,9.1397,627689,15.1993
DATA,6.7725,10.0352,627870,16.8077
DATA,6.2028,9.9101,628051,16.1129
DATA,6.0813,9.5324,628232,15.6137
DATA,6.4035,9.7564,628413,16.1599
DATA,6.4961,9.1869,628594,15.6830
DATA,6.5085,10.6199,628775,17.1285
DATA,9.3540,7.5937,628956,16.9477
DATA,47.6545,-94.5410,629227,-46.8865
DATA,60.5709,-112.3826,629408,-51.8117
DATA,54.1967,-6.5655,629589,47.6312
DATA,-14.0980,106.1858,629770,92.0877
DATA,-48.3149,130.4932,629951,82.1783
DATA,-45.0177,51.1080,630132,6.0903
DATA,-54.6909,-105.0102,630313,-159.7011
DATA,-70.4000,-196.2237,630494,-266.6237
DATA,-43.0407,-22.1024,630675,-65.1432
DATA,9.1076,40.0936,630947,49.2012
DATA,5.7017,8.7948,631128,14.4964
DATA,39.0485,-106.1481,631309,-67.0996
DATA,40.0102,-231.1055,631490,-191.0953
DATA,69.1735,-232.2586,631671,-163.0851
DATA,49.9199,-119.2314,631852,-69.3115
DATA,61.3799,43.4157,632033,104.7956
DATA,17.1942,82.1182,632214,99.3124
DATA,7.3313,72.5316,632395,79.8629
DATA,41.3983,55.9691,632576,97.3674
DATA,4.2861,-156.6111,632848,-152.3250
DATA,-141.8606,-181.3819,633029,-323.2426
DATA,-204.6870,-114.9798,633210,-319.6668
DATA,-196.1696,-161.0105,633391,-357.1801
DATA,-206.3479,136.7545,633572,-69.5933
DATA,4.4110,132.3758,633753,136.7867
DATA,12.7440,100.9974,633934,113.7414
DATA,11.3275,67.7733,634115,79.1008
DATA,13.9340,-167.6263,634296,-153.6924
DATA,-241.1545,-26.0639,634567,-267.2184
DATA,-246.8687,-229.3076,634748,-476.1763
DATA,-121.1722,-233.9621,634929,-355.1343
DATA,-44.1549,76.5693,635110,32.4144
DATA,9.6328,88.9422,635291,98.5750
DATA,9.0590,130.0833,635472,139.1423
DATA,72.5604,-144.7858,635653,-72.2254
DATA,85.8137,-324.5219,635834,-238.7082
DATA,-24.9898,-359.0450,636015,-384.0348
DATA,-39.3898,-241.2227,636196,-280.6125
DATA,-46.8958,56.7236,636468,9.8278
DATA,16.0587,130.8565,636649,146.9152
DATA,13.2348,150.0673,636830,163.3021
DATA,30.1093,76.5930,637011,106.7022
DATA,100.1260,-125.3340,637192,-25.2080
DATA,28.6276,-334.6591,637373,-306.0314
DATA,-84.2602,-144.3870,637554,-228.6473
DATA,-20.2761,45.9107,637735,25.6346
DATA,15.2986,121.3308,637916,136.6294
DATA,8.8852,162.2997,638188,171.1849
DATA,33.5880,33.3870,638369,66.9750
DATA,86.5355,-100.2177,638550,-13.6822
DATA,78.6827,-148.4592,638731,-69.7766
DATA,76.6502,-215.4478,638912,-138.7975
DATA,-54.0295,-210.2790,639093,-264.3085
DATA,-124.3289,-249.6581,639274,-373.9869
DATA,47.7728,153.1888,639455,200.9615
DATA,41.6455,158.7967,639636,200.4423
DATA,14.0087,189.0261,639817,203.0348
DATA,6.7170,32.5377,640088,39.2547
DATA,5.0587,9.1373,640269,14.1961
DATA,3.9308,3.2935,640450,7.2243
DATA,5.0202,3.4410,640631,8.4612
DATA,-36.1888,-129.6875,640812,-165.8763
DATA,-4.6061,-177.1486,640993,-181.7548
DATA,-6.2659,-228.9198,641174,-235.1857
DATA,-5.9167,2.9894,641355,-2.9273
DATA,56.7546,179.0625,641536,235.8171
DATA,41.1426,227.4371,641808,268.5797
DATA,26.0977,224.1486,641989,250.2464
DATA,24.1725,105.5591,642170,129.7316
DATA,63.8471,-102.1419,642351,-38.2948
DATA,31.1033,-124.8114,642532,-93.7081
DATA,35.5848,-149.2898,642713,-113.7050
DATA,-48.3554,-257.4686,642894,-305.8240
DATA,-37.4009,-37.7720,643075,-75.1729
DATA,49.6954,159.4840,643256,209.1794
DATA,15.0577,209.4917,643437,224.5494
DATA,4.5966,91.3416,643708,95.9381
DATA,-53.6761,223.4376,643889,169.7615
DATA,-129.1551,154.6620,644070,25.5070
DATA,-110.8353,-144.3604,644251,-255.1956
DATA,-93.6014,-289.3268,644432,-382.9283
DATA,-113.3650,-129.1962,644613,-242.5612
DATA,1.5452,12.7338,644794,14.2790
DATA,6.7051,9.8482,644975,16.5533
DATA,5.8830,8.9321,645156,14.8152
DATA,6.2266,9.9161,645428,16.1427
DATA,6.4402,9.8123,645609,16.2525
DATA,6.4892,9.6162,645790,16.1054
DATA,6.2350,9.6733,645971,15.9084
DATA,6.5364,9.8336,646152,16.3700
DATA,6.4123,9.7428,646333,16.1551
DATA,6.4137,9.7539,646514,16.1677
DATA,6.4185,9.6880,646695,16.1066
DATA,6.4259,9.6765,646876,16.1024
DATA,6.4475,9.7799,647057,16.2274
