%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.2359,-0.2503,272152,-0.0144
DATA,0.1968,-0.2417,272334,-0.0448
DATA,0.2294,-0.2105,272515,0.0189
DATA,0.2373,-0.2633,272696,-0.0260
DATA,0.2370,-0.2153,272878,0.0217
DATA,0.2464,-0.2370,273059,0.0093
DATA,0.2413,-0.2320,273240,0.0093
DATA,0.2346,-0.2135,273512,0.0210
DATA,0.2235,0.0210,273694,0.2445
DATA,0.5952,-0.0111,273875,0.5841
DATA,0.2439,-0.5187,274056,-0.2749
DATA,-0.0155,-0.7694,274238,-0.7849
DATA,0.0997,-0.3012,274419,-0.2015
DATA,0.2795,-0.2299,274600,0.0495
DATA,0.1366,-0.2858,274782,-0.1491
DATA,0.1198,-0.5141,274963,-0.3943
DATA,0.3773,0.0868,275144,0.4641
DATA,0.1458,0.2375,275416,0.3833
DATA,0.4183,-0.4154,275598,0.0029
DATA,0.1042,-0.3354,275779,-0.2312
DATA,0.1107,-0.1685,275960,-0.0578
DATA,0.2758,-0.3420,276141,-0.0662
DATA,0.2585,0.4842,276323,0.7427
DATA,-0.0836,1.0808,276504,0.9972
DATA,15.3906,-51.7577,276685,-36.3671
DATA,-36.5564,-256.2788,276867,-292.8352
DATA,-156.4431,-354.0806,277139,-510.5237
DATA,-188.1450,-376.6505,277320,-564.7955
DATA,-198.4877,-308.3020,277501,-506.7897
DATA,-164.7565,-97.6443,277683,-262.4008
DATA,-4.4638,1.5828,277864,-2.8811
DATA,-0.3126,-1.1701,278045,-1.4827
DATA,0.1373,-0.2720,278227,-0.1347
DATA,-0.4675,-24.0516,278408,-24.5192
DATA,-97.0422,-347.2827,278589,-444.3249
DATA,-225.1922,-477.8222,278770,-703.0144
DATA,-234.1047,-432.7373,279042,-666.8420
DATA,-259.5712,-226.0086,279224,-485.5798
DATA,-87.4111,6.0804,279405,-81.3307
DATA,0.2486,1.1690,279586,1.4176
DATA,-0.2590,-0.9843,279768,-1.2433
DATA,-1.2110,-0.0467,279949,-1.2577
DATA,-48.1864,-184.3620,280130,-232.5485
DATA,-187.4411,-462.5211,280312,-649.9621
DATA,-253.5652,-469.1314,280493,-722.6966
DATA,-218.7400,-453.0439,280765,-671.7839
DATA,-156.9979,-275.8101,280946,-432.8080
DATA,-6.4449,-18.4670,281128,-24.9119
DATA,0.4198,-0.2140,281309,0.2058
DATA,-0.0377,-0.5796,281490,-0.6173
DATA,0.2763,-0.1180,281671,0.1583
DATA,0.4775,-0.2320,281853,0.2455
DATA,0.2482,-0.2992,282034,-0.0510
DATA,0.0888,-0.7269,282215,-0.6381
DATA,0.2479,-0.3787,282397,-0.1308
DATA,0.6145,-0.0413,282669,0.5732
DATA,0.3920,-0.2588,282850,0.1333
DATA,0.3137,-0.3995,283031,-0.0858
DATA,0.1499,-0.5599,283213,-0.4100
DATA,0.2972,-0.1862,283394,0.1111
DATA,0.4406,-0.1219,283575,0.3187
DATA,0.1735,-0.2578,283757,-0.0843
DATA,0.2831,-0.3902,283938,-0.1071
DATA,-0.0115,-0.8099,284119,-0.8214
DATA,0.3887,-0.0937,284301,0.2950
DATA,0.3828,-0.5508,284573,-0.1679
DATA,0.2849,0.0542,284754,0.3392
DATA,0.4302,-0.3380,284935,0.0922
DATA,0.2567,-0.2202,285117,0.0365
DATA,0.5609,-0.0709,285298,0.4900
DATA,0.1995,-0.2941,285479,-0.0946
DATA,-0.0019,-0.8472,285660,-0.8491
DATA,0.2397,-0.2364,285842,0.0033
DATA,0.2619,-0.3704,286023,-0.1085
DATA,0.2633,-0.2839,286295,-0.0206
DATA,0.4971,-1.8236,286476,-1.3265
DATA,0.2590,-0.2835,286658,-0.0245
DATA,0.2583,-0.2596,286839,-0.0013
DATA,0.2699,-0.2843,287020,-0.0144
