%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.0534,0.4507,379997,0.5040
DATA,-0.0155,0.2843,380022,0.2688
DATA,0.0508,0.3457,380046,0.3966
DATA,0.0254,0.3375,380071,0.3629
DATA,0.0355,0.2454,380095,0.2809
DATA,0.0064,0.2387,380120,0.2451
DATA,-0.0081,0.3882,380144,0.3801
DATA,0.0020,0.3461,380169,0.3481
DATA,0.0474,0.3615,380194,0.4089
DATA,0.0709,0.3237,380218,0.3946
DATA,-0.0245,0.2709,380243,0.2464
DATA,-0.0048,0.2441,380267,0.2393
DATA,0.0361,0.3779,380304,0.4140
DATA,0.0386,0.2682,380328,0.3068
DATA,0.0355,0.3896,380353,0.4251
DATA,0.0686,0.2537,380377,0.3224
DATA,0.0540,0.3552,380402,0.4091
DATA,0.0757,0.3498,380427,0.4256
DATA,-0.0182,0.2942,380451,0.2761
DATA,0.0795,0.3899,380476,0.4694
DATA,0.0454,0.4177,380500,0.4630
DATA,0.0488,0.3566,380525,0.4054
DATA,0.0445,0.3607,380549,0.4052
DATA,-0.0112,0.2771,380574,0.2659
DATA,0.0363,0.3382,380598,0.3744
DATA,-0.0238,0.3558,380623,0.3320
DATA,0.0336,0.3159,380660,0.3495
DATA,0.0471,0.2617,380684,0.3088
DATA,0.0131,0.3273,380709,0.3405
DATA,0.0405,0.3496,380733,0.3901
DATA,0.0005,0.3516,380758,0.3521
DATA,0.0263,0.3007,380782,0.3270
DATA,0.0460,0.2764,380807,0.3224
DATA,-0.0326,0.3759,380831,0.3433
DATA,0.0173,0.2060,380856,0.2233
DATA,0.0088,0.1865,380880,0.1953
DATA,0.0161,0.2104,380905,0.2265
DATA,0.0715,0.2898,380929,0.3613
DATA,0.0453,0.4135,380954,0.4588
DATA,0.0386,0.3146,380991,0.3533
DATA,0.0730,0.4753,381015,0.5483
DATA,0.0633,0.3545,381040,0.4178
DATA,0.0449,0.1580,381064,0.2030
DATA,0.0422,0.3445,381089,0.3868
DATA,0.0159,0.3206,381113,0.3365
DATA,0.0058,0.4281,381138,0.4339
DATA,-0.0412,0.3341,381162,0.2929
DATA,-0.0130,0.3653,381187,0.3523
DATA,0.0271,0.3556,381211,0.3827
DATA,0.0989,0.3532,381236,0.4522
DATA,-0.0208,0.3590,381260,0.3382
DATA,0.0483,0.2913,381285,0.3396
DATA,-0.0366,0.2795,381322,0.2430
DATA,0.0388,0.3640,381346,0.4028
DATA,0.0107,0.3114,381371,0.3221
DATA,0.0375,0.3364,381395,0.3739
DATA,-0.0256,0.3761,381420,0.3505
DATA,0.0542,0.3558,381444,0.4100
DATA,-0.0167,0.3299,381469,0.3132
DATA,0.0374,0.3308,381493,0.3682
DATA,0.0057,0.2819,381518,0.2877
DATA,0.0129,0.2809,381542,0.2938
DATA,0.1224,0.2728,381567,0.3951
DATA,0.0349,0.3576,381591,0.3925
DATA,0.0087,0.3052,381616,0.3139
DATA,-0.0354,0.3628,381640,0.3274
DATA,-0.0627,0.5099,381677,0.4472
DATA,0.0035,0.3505,381702,0.3539
DATA,-0.0149,0.1273,381726,0.1124
DATA,0.0205,0.3502,381751,0.3707
DATA,0.0258,0.3942,381775,0.4200
DATA,-0.0564,0.0104,381800,-0.0459
DATA,-0.2017,0.0491,381824,-0.1526
DATA,-0.2233,0.4874,381849,0.2641
DATA,0.0364,0.5680,381873,0.6044
DATA,-0.4166,0.4218,381898,0.0052
DATA,0.3502,0.3891,381922,0.7393
DATA,0.2659,0.3752,381947,0.6411
DATA,-0.0103,0.4996,381971,0.4893
DATA,-0.6453,-1.1959,382008,-1.8411
DATA,-0.4603,0.7624,382033,0.3022
DATA,0.5066,0.9622,382057,1.4689
DATA,0.4572,0.4162,382082,0.8733
DATA,-0.2680,-0.4866,382106,-0.7546
DATA,-0.6087,-0.6343,382131,-1.2430
DATA,-0.4135,-0.3882,382155,-0.8016
DATA,-0.3846,-0.1896,382180,-0.5742
DATA,-0.7409,-0.3888,382204,-1.1297
DATA,-0.8917,-1.2986,382229,-2.1903
DATA,-0.6529,-0.5452,382253,-1.1980
DATA,-0.1003,0.3827,382278,0.2824
DATA,0.1679,0.9436,382303,1.1114
DATA,0.6062,1.5764,382327,2.1826
DATA,0.7172,1.6500,382364,2.3672
DATA,0.8035,1.4976,382388,2.3011
DATA,0.7169,1.3686,382413,2.0855
DATA,0.8467,1.7548,382437,2.6015
DATA,1.1403,2.2541,382462,3.3944
DATA,1.5042,2.7247,382486,4.2289
DATA,1.3888,2.3348,382511,3.7236
DATA,1.3302,2.4590,382535,3.7892
DATA,1.3494,2.5289,382560,3.8783
DATA,1.3214,2.4646,382585,3.7860
DATA,1.1044,2.0847,382609,3.1891
DATA,1.1569,2.1812,382634,3.3381
DATA,1.1881,2.3150,382658,3.5031
DATA,1.3862,2.3978,382695,3.7840
DATA,1.1491,1.8279,382719,2.9769
DATA,0.7474,1.4333,382744,2.1807
DATA,0.7940,1.7642,382768,2.5582
DATA,1.0840,2.2265,382793,3.3104
DATA,1.0752,1.9090,382818,2.9842
DATA,0.8430,1.5732,382842,2.4162
DATA,0.6227,1.4444,382867,2.0671
DATA,0.7844,1.6171,382891,2.4016
DATA,1.0623,2.2442,382916,3.3065
DATA,1.0859,2.0076,382940,3.0935
DATA,0.6797,1.2380,382965,1.9177
DATA,0.5797,1.3662,382989,1.9459
DATA,1.9794,1.5869,383014,3.5663
DATA,3.1363,1.5925,383051,4.7288
DATA,3.9992,1.8516,383075,5.8508
DATA,5.9136,2.4497,383100,8.3632
DATA,7.2869,3.1105,383124,10.3974
DATA,10.1251,4.3195,383149,14.4446
DATA,13.7813,6.5084,383173,20.2897
DATA,16.4397,9.2400,383198,25.6797
DATA,19.8134,11.1236,383222,30.9370
DATA,22.3881,12.8534,383247,35.2415
DATA,23.0981,15.4649,383271,38.5630
DATA,23.3052,18.1215,383296,41.4267
DATA,23.6405,20.4086,383320,44.0491
DATA,25.1771,22.7068,383345,47.8839
DATA,26.9710,25.2614,383382,52.2324
DATA,27.7593,25.4755,383406,53.2348
DATA,28.2485,24.9104,383431,53.1588
DATA,29.7308,26.3128,383455,56.0436
DATA,31.3945,28.9117,383480,60.3062
DATA,32.0402,30.2803,383504,62.3205
DATA,32.9346,30.7026,383529,63.6372
DATA,33.7628,32.0340,383553,65.7968
DATA,34.8409,33.4911,383578,68.3320
DATA,34.8974,33.6672,383602,68.5646
DATA,34.1331,33.0380,383627,67.1710
DATA,34.9664,33.2598,383651,68.2262
DATA,36.2750,34.0317,383676,70.3067
DATA,36.0704,34.6100,383713,70.6804
DATA,35.3408,34.4797,383737,69.8205
DATA,35.1535,34.2012,383762,69.3547
DATA,35.5396,33.7913,383786,69.3310
DATA,35.4788,33.1007,383811,68.5795
DATA,35.4506,32.0749,383835,67.5255
DATA,35.1983,31.8579,383860,67.0562
DATA,34.3007,30.8762,383884,65.1769
DATA,32.1950,28.4901,383909,60.6850
DATA,28.3053,24.3587,383933,52.6639
DATA,23.2838,19.2618,383958,42.5457
DATA,17.0850,10.2818,383982,27.3669
DATA,10.9165,2.8331,384007,13.7496
DATA,5.0366,1.4428,384031,6.4794
DATA,0.6996,1.2688,384068,1.9685
