%, jaw1 [N], jaw2 [N], time [ms], gripForce [N]
DATA,-0.2501,-0.0102,17534,-0.2602
DATA,-0.2507,0.0451,17559,-0.2056
DATA,-0.1893,0.0311,17583,-0.1583
DATA,-0.1881,0.0138,17608,-0.1743
DATA,-0.2520,-0.0655,17632,-0.3175
DATA,-0.2260,-0.0951,17657,-0.3212
DATA,-0.3170,0.0564,17681,-0.2607
DATA,-0.2388,0.0403,17706,-0.1985
DATA,-0.1530,0.0021,17730,-0.1510
DATA,-0.1614,0.0202,17755,-0.1412
DATA,-0.1271,-0.0349,17779,-0.1620
DATA,-0.1831,0.0326,17804,-0.1505
DATA,-0.1174,0.0282,17829,-0.0892
DATA,-0.3418,0.0269,17865,-0.3149
DATA,-0.1547,0.0148,17890,-0.1399
DATA,-0.1925,0.0275,17914,-0.1650
DATA,-0.0345,0.0416,17939,0.0071
DATA,-0.2565,-0.1507,17964,-0.4072
DATA,-0.1127,-0.0516,17988,-0.1643
DATA,-0.0775,0.0258,18013,-0.0517
DATA,-0.1965,-0.0121,18037,-0.2085
DATA,-0.1103,0.0115,18062,-0.0988
DATA,-0.2290,-0.0586,18086,-0.2876
DATA,-0.0632,0.0378,18111,-0.0254
DATA,-0.1671,0.0307,18135,-0.1363
DATA,-0.1974,-0.0284,18160,-0.2258
DATA,-0.1840,0.0307,18184,-0.1533
DATA,-0.1557,-0.1025,18221,-0.2582
DATA,-0.1802,-0.0187,18246,-0.1989
DATA,-0.1960,-0.1152,18270,-0.3112
DATA,-0.0303,-0.0243,18295,-0.0546
DATA,-0.1927,-0.0789,18319,-0.2716
DATA,-0.1793,-0.0519,18344,-0.2312
DATA,-0.1983,0.0238,18368,-0.1745
DATA,-0.1576,-0.0128,18393,-0.1704
DATA,-0.0892,-0.0143,18418,-0.1034
DATA,-0.2009,-0.0818,18442,-0.2828
DATA,-0.2223,0.0019,18467,-0.2204
DATA,-0.1609,-0.0519,18491,-0.2128
DATA,-0.0472,-0.0860,18516,-0.1332
DATA,-0.2099,0.0124,18553,-0.1975
DATA,-0.0770,-0.0169,18577,-0.0939
DATA,-0.1499,0.0653,18602,-0.0846
DATA,-0.1151,-0.0662,18626,-0.1814
DATA,-0.0923,0.0930,18651,0.0007
DATA,-0.1135,-0.0620,18675,-0.1755
DATA,-0.0908,-0.0760,18700,-0.1668
DATA,-0.1987,-0.0747,18724,-0.2734
DATA,-0.2389,-0.0488,18749,-0.2877
DATA,-0.2159,0.0285,18773,-0.1874
DATA,-0.2708,0.0177,18798,-0.2531
DATA,-0.2506,-0.0039,18823,-0.2545
DATA,-0.1985,0.0304,18847,-0.1681
DATA,-0.3463,0.0105,18872,-0.3359
DATA,-0.4771,0.0161,18908,-0.4610
DATA,-0.4108,0.0161,18933,-0.3948
DATA,-0.5024,-0.3247,18958,-0.8270
DATA,-0.2814,0.0472,18982,-0.2342
DATA,-0.3167,-0.0134,19007,-0.3301
DATA,-0.3885,-0.0408,19031,-0.4294
DATA,0.7072,-0.0704,19056,0.6368
DATA,2.0729,0.0908,19080,2.1637
DATA,2.4841,0.0154,19105,2.4995
DATA,3.7051,0.0308,19129,3.7359
DATA,4.9642,0.1019,19154,5.0661
DATA,5.8441,-0.0741,19178,5.7700
DATA,6.2001,0.0439,19203,6.2440
DATA,5.6205,-0.0553,19240,5.5652
DATA,5.2084,0.0546,19264,5.2630
DATA,5.7618,0.0988,19289,5.8607
DATA,7.0328,-0.0039,19313,7.0288
DATA,8.1114,0.1031,19338,8.2145
DATA,9.2805,-0.1911,19362,9.0894
DATA,9.8303,-0.0819,19387,9.7483
DATA,9.9161,-0.0198,19412,9.8963
DATA,9.8246,-0.0548,19436,9.7698
DATA,10.3911,-0.0119,19461,10.3791
DATA,10.6890,-0.0164,19485,10.6726
DATA,7.3778,-0.1404,19510,7.2375
DATA,2.3998,0.1111,19534,2.5109
DATA,0.5314,0.0003,19571,0.5317
DATA,0.3218,-0.0176,19596,0.3042
DATA,0.4275,0.0082,19620,0.4357
DATA,0.3330,-0.1122,19645,0.2208
DATA,0.3111,-0.0532,19669,0.2579
DATA,0.3486,-0.0411,19694,0.3075
DATA,0.2733,-0.0409,19718,0.2323
DATA,0.2434,-0.0652,19743,0.1782
DATA,0.3142,0.0114,19767,0.3256
DATA,0.3148,0.0176,19792,0.3324
DATA,0.2384,-0.0327,19817,0.2057
DATA,0.3323,0.0080,19841,0.3403
DATA,0.3310,-0.1043,19866,0.2267
DATA,0.3199,0.0411,19890,0.3609
DATA,0.2919,-0.1149,19927,0.1769
DATA,0.2346,-0.0795,19952,0.1551
DATA,0.2649,0.0301,19976,0.2950
DATA,0.7182,0.0818,20001,0.8000
DATA,1.1374,-0.0390,20025,1.0984
DATA,2.0348,-0.0477,20050,1.9871
DATA,3.8126,-0.0359,20074,3.7767
DATA,5.2658,-0.0774,20099,5.1885
DATA,4.6973,0.0089,20123,4.7062
DATA,5.1146,-0.0779,20148,5.0366
DATA,6.6729,0.0274,20172,6.7003
DATA,7.8866,0.0108,20197,7.8974
DATA,9.3013,-0.0306,20222,9.2707
DATA,9.4404,-0.0544,20258,9.3860
DATA,9.1541,-0.0813,20283,9.0728
DATA,9.7725,0.0428,20307,9.8153
DATA,11.6446,0.0343,20332,11.6789
DATA,11.5260,-0.0730,20356,11.4530
DATA,11.2424,0.0336,20381,11.2760
DATA,11.4489,-0.0254,20406,11.4235
DATA,12.1878,0.0281,20430,12.2159
DATA,12.5292,-0.0293,20455,12.4999
DATA,12.2397,0.0239,20479,12.2637
DATA,11.8021,-0.0643,20504,11.7379
DATA,11.1819,0.0943,20528,11.2762
DATA,10.0881,0.1275,20553,10.2156
DATA,9.6592,-0.0532,20577,9.6060
DATA,9.5325,-0.0379,20614,9.4946
DATA,9.5277,-0.0173,20639,9.5104
DATA,10.1380,0.1305,20663,10.2685
DATA,11.7661,0.0803,20688,11.8464
DATA,12.1649,-0.0082,20712,12.1567
DATA,11.9761,0.0048,20737,11.9809
DATA,11.4596,-0.0557,20761,11.4039
DATA,10.5035,0.0420,20786,10.5455
DATA,9.8164,-0.0983,20811,9.7180
DATA,9.3279,0.0079,20835,9.3358
DATA,8.4608,-0.0512,20860,8.4096
DATA,6.6187,0.0806,20884,6.6993
DATA,5.0733,-0.0634,20909,5.0098
DATA,3.6544,0.1261,20946,3.7805
DATA,2.5191,0.1047,20970,2.6238
DATA,1.2236,0.2047,20995,1.4284
DATA,0.6644,0.0144,21019,0.6788
DATA,0.6421,-0.2329,21044,0.4092
DATA,0.6459,0.0054,21068,0.6513
DATA,0.6903,-0.0235,21093,0.6667
DATA,0.7854,-0.0459,21117,0.7394
DATA,0.6732,-0.0028,21142,0.6704
DATA,0.6978,-0.0612,21166,0.6366
DATA,0.6643,0.0026,21191,0.6668
DATA,0.6551,-0.0128,21216,0.6422
DATA,0.6691,-0.1592,21240,0.5099
DATA,0.6847,-0.0397,21265,0.6450
DATA,0.6716,0.1045,21301,0.7761
DATA,0.6397,0.0918,21326,0.7315
DATA,0.6234,-0.1143,21351,0.5092
DATA,0.7864,-0.0066,21375,0.7798
DATA,0.6112,0.0530,21400,0.6642
DATA,0.6673,-0.0166,21424,0.6507
DATA,0.6778,0.0785,21449,0.7564
DATA,0.7191,-0.0603,21473,0.6588
DATA,0.7374,-0.0416,21498,0.6958
DATA,0.7015,-0.1428,21522,0.5587
DATA,0.7656,-0.0369,21547,0.7287
DATA,0.7253,-0.0430,21571,0.6823
DATA,0.6456,0.1002,21596,0.7458
DATA,0.6398,-0.0412,21633,0.5987
DATA,0.6724,0.0565,21657,0.7289
DATA,0.6560,0.0074,21682,0.6634
DATA,0.6551,-0.0131,21706,0.6420
DATA,0.6337,0.1125,21731,0.7462
DATA,0.5802,-0.0581,21756,0.5222
DATA,0.5726,-0.0746,21780,0.4980
DATA,0.6019,-0.1042,21805,0.4977
DATA,0.5621,-0.0104,21829,0.5517
DATA,0.6642,0.0829,21854,0.7470
DATA,0.6740,-0.0254,21878,0.6486
DATA,0.6829,-0.0634,21903,0.6195
DATA,0.6684,-0.0211,21927,0.6473
DATA,0.7070,0.0239,21964,0.7309
DATA,0.7213,-0.0154,21989,0.7059
DATA,0.6880,0.0390,22013,0.7270
DATA,0.6578,-0.0781,22038,0.5797
DATA,0.6721,0.0165,22062,0.6886
DATA,0.6787,-0.0494,22087,0.6294
DATA,0.5195,-0.1087,22111,0.4108
DATA,0.6911,-0.0346,22136,0.6565
DATA,0.4881,-0.0377,22161,0.4503
DATA,0.7764,-0.0558,22185,0.7206
DATA,0.7063,0.0560,22210,0.7623
