%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.0187,-0.0404,84895,-0.0217
DATA,-0.0153,-0.0814,85067,-0.0967
DATA,-0.0016,-0.1056,85239,-0.1071
DATA,0.0078,-0.0185,85423,-0.0107
DATA,0.0243,-0.0915,85595,-0.0672
DATA,0.0256,-0.0929,85767,-0.0673
DATA,0.0054,-0.0276,85939,-0.0222
DATA,0.0050,0.0029,86122,0.0079
DATA,0.0228,-0.0138,86294,0.0090
DATA,0.0120,-0.1041,86466,-0.0921
DATA,0.0291,-0.2200,86638,-0.1909
DATA,-0.9800,3.0745,86811,2.0946
DATA,0.9014,3.6086,86994,4.5100
DATA,2.5181,5.3008,87166,7.8189
DATA,3.2709,5.9376,87338,9.2085
DATA,4.0990,5.0065,87510,9.1055
DATA,4.1391,4.8286,87682,8.9677
DATA,2.9753,13.6472,87866,16.6225
DATA,6.9775,54.6582,88038,61.6357
DATA,35.6173,79.4737,88210,115.0910
DATA,60.5918,41.9927,88382,102.5844
DATA,69.2221,3.4210,88554,72.6431
DATA,12.8889,3.7675,88738,16.6564
DATA,2.5729,3.2964,88910,5.8694
DATA,2.4388,3.1733,89082,5.6120
DATA,2.3684,3.0080,89254,5.3764
DATA,2.3007,3.0956,89426,5.3962
DATA,6.4435,3.2478,89609,9.6913
DATA,48.0650,3.2719,89781,51.3369
DATA,93.8288,3.5168,89953,97.3456
DATA,106.6788,3.4698,90125,110.1486
DATA,103.7879,3.5086,90309,107.2965
DATA,89.3898,3.3068,90481,92.6966
DATA,27.4611,3.3453,90653,30.8064
DATA,2.2108,3.5059,90825,5.7167
DATA,2.5184,3.3953,90997,5.9137
DATA,2.5493,3.3131,91181,5.8624
DATA,2.0446,3.3356,91353,5.3802
DATA,19.0927,3.3154,91525,22.4081
DATA,59.9429,3.4541,91697,63.3970
DATA,95.2127,3.3234,91869,98.5361
DATA,102.2945,3.4342,92052,105.7287
DATA,112.4680,3.3488,92224,115.8168
DATA,105.7539,3.4356,92397,109.1895
DATA,31.2073,3.0782,92569,34.2855
DATA,2.1817,3.1338,92741,5.3155
DATA,2.2640,2.9860,92924,5.2500
DATA,2.2865,3.2020,93096,5.4885
DATA,9.1293,3.3335,93268,12.4628
DATA,55.3630,3.2389,93440,58.6019
DATA,61.7934,3.1248,93612,64.9183
DATA,9.3242,3.1999,93796,12.5241
DATA,2.3047,3.2215,93968,5.5262
DATA,7.2527,3.1811,94140,10.4338
DATA,30.2334,3.2951,94312,33.5285
DATA,37.5406,3.3798,94495,40.9204
DATA,41.4529,3.2461,94668,44.6991
DATA,37.9675,3.3024,94840,41.2699
DATA,37.7172,3.2870,95012,41.0043
DATA,25.5439,3.3530,95184,28.8969
DATA,2.4819,3.1811,95367,5.6630
DATA,2.3399,3.1079,95539,5.4478
DATA,2.2792,2.9761,95711,5.2553
DATA,2.2909,3.0561,95883,5.3470
DATA,2.2571,2.9210,96055,5.1781
DATA,2.2623,2.4926,96239,4.7549
DATA,2.2846,0.8086,96411,3.0932
DATA,1.0055,0.7148,96583,1.7203
DATA,0.1910,0.1648,96755,0.3558
DATA,0.0036,-0.2430,96927,-0.2393
DATA,-0.1125,0.1938,97111,0.0813
DATA,-0.0479,-0.3016,97283,-0.3495
DATA,0.0123,-0.1717,97455,-0.1594
DATA,0.0266,-0.0741,97627,-0.0475
DATA,0.0142,-0.0904,97799,-0.0762
DATA,0.0054,-0.1055,97982,-0.1001
DATA,-0.0138,-0.2052,98154,-0.2189
DATA,-0.0142,-0.1142,98326,-0.1283
DATA,-0.0094,-0.1308,98499,-0.1403
DATA,0.0306,-0.0384,98682,-0.0078
DATA,0.0041,-0.0395,98854,-0.0354
