%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,-1.9710,6.5755,231274,4.6045
DATA,-1.9285,6.6219,231458,4.6934
DATA,-1.9811,6.6333,231630,4.6522
DATA,-1.9758,6.6717,231802,4.6958
DATA,-1.8787,6.5620,231974,4.6834
DATA,-1.9774,4.9393,232158,2.9619
DATA,-2.1961,3.2099,232330,1.0138
DATA,-6.5532,6.9154,232502,0.3622
DATA,5.4528,5.3457,232674,10.7985
DATA,5.0673,1.4133,232846,6.4806
DATA,3.1314,2.1919,233029,5.3234
DATA,2.4331,2.0208,233201,4.4538
DATA,1.9416,2.0595,233373,4.0011
DATA,1.7442,2.6326,233545,4.3768
DATA,1.4157,2.0805,233717,3.4962
DATA,2.3620,3.3694,233901,5.7314
DATA,2.6304,3.1140,234073,5.7444
DATA,2.4527,3.7509,234245,6.2035
DATA,2.4446,1.0251,234417,3.4697
DATA,1.3680,5.5111,234589,6.8790
DATA,3.3912,3.5113,234772,6.9025
DATA,3.8023,0.9133,234944,4.7156
DATA,1.8905,1.7222,235116,3.6127
DATA,1.6150,1.5330,235288,3.1480
DATA,1.6665,1.9215,235460,3.5879
DATA,1.7876,1.7926,235644,3.5802
DATA,2.1929,3.0701,235816,5.2630
DATA,4.1297,-5.3224,235988,-1.1927
DATA,-4.3563,-11.3002,236160,-15.6564
DATA,-6.1787,-8.2975,236332,-14.4762
DATA,-6.7024,1.7874,236516,-4.9149
DATA,-5.5953,-0.8635,236688,-6.4588
DATA,-4.7818,3.4321,236860,-1.3498
DATA,8.1118,3.6158,237032,11.7276
DATA,8.3060,1.7498,237204,10.0558
DATA,3.2588,1.5158,237387,4.7746
DATA,1.2981,2.0161,237559,3.3142
DATA,1.1668,2.1916,237731,3.3585
DATA,-4.4882,0.8678,237903,-3.6204
DATA,0.9078,3.9773,238075,4.8851
DATA,0.8344,2.3714,238259,3.2058
DATA,1.1097,2.5768,238431,3.6865
DATA,2.0310,4.1366,238603,6.1677
DATA,3.6058,4.7745,238775,8.3803
DATA,4.2424,5.1618,238947,9.4042
DATA,4.0738,3.9179,239131,7.9917
DATA,3.7281,4.4874,239303,8.2155
DATA,3.6837,7.4133,239475,11.0970
DATA,4.6206,32.7001,239647,37.3207
DATA,14.4301,56.5233,239819,70.9534
DATA,40.3039,78.8010,240002,119.1048
DATA,87.6446,78.7154,240174,166.3600
DATA,103.3742,65.6724,240346,169.0466
DATA,80.3344,-15.1644,240518,65.1700
DATA,7.7975,4.6812,240690,12.4787
DATA,-0.7669,5.3943,240874,4.6275
DATA,3.9915,4.8567,241046,8.8482
DATA,3.9251,5.2128,241218,9.1379
DATA,4.1001,5.0136,241390,9.1137
DATA,3.8301,5.1063,241562,8.9363
DATA,3.4236,5.0430,241745,8.4666
DATA,4.0080,5.2508,241918,9.2588
DATA,3.9765,-2.9330,242090,1.0436
DATA,15.0879,12.3115,242262,27.3994
DATA,39.2951,11.9058,242434,51.2009
DATA,25.3881,7.5482,242617,32.9362
DATA,22.5212,57.0754,242789,79.5965
DATA,36.5757,55.2403,242961,91.8160
DATA,84.0955,48.1192,243133,132.2147
DATA,123.3414,-18.7957,243305,104.5458
DATA,30.7908,-35.7469,243489,-4.9561
DATA,-46.8959,0.9341,243661,-45.9618
DATA,-4.3739,4.9872,243833,0.6133
DATA,3.9426,4.7426,244005,8.6851
DATA,3.8303,4.5481,244177,8.3784
DATA,4.0220,4.2906,244361,8.3126
DATA,7.0613,-11.5837,244533,-4.5224
DATA,14.3608,-5.1803,244705,9.1806
DATA,12.9976,1.5489,244877,14.5465
DATA,2.5600,3.4552,245060,6.0151
DATA,4.2211,18.0472,245232,22.2683
DATA,7.7258,21.4961,245404,29.2219
DATA,37.0336,12.5020,245576,49.5356
DATA,47.0837,19.3953,245748,66.4790
DATA,61.5409,20.9468,245932,82.4878
DATA,77.1812,16.4296,246104,93.6108
DATA,87.6919,10.3405,246276,98.0323
DATA,92.8159,13.6831,246448,106.4991
DATA,109.9013,16.8832,246620,126.7845
DATA,126.9770,16.4293,246803,143.4063
DATA,119.8230,7.3552,246975,127.1782
DATA,93.5892,-32.9263,247148,60.6629
DATA,48.0694,-5.8552,247320,42.2142
DATA,2.0870,-3.5951,247492,-1.5081
DATA,3.4294,4.6707,247675,8.1000
DATA,4.1461,4.9314,247847,9.0774
DATA,4.0862,-0.5033,248019,3.5829
DATA,2.0182,-0.5266,248191,1.4916
DATA,2.0790,0.3442,248363,2.4232
DATA,3.0809,0.2067,248547,3.2876
DATA,3.3037,3.8804,248719,7.1841
DATA,3.5228,6.6248,248891,10.1477
DATA,1.1095,8.1830,249063,9.2924
DATA,-3.2601,-4.5854,249235,-7.8455
DATA,-4.9959,0.3184,249418,-4.6775
DATA,3.6668,5.3342,249590,9.0011
DATA,3.4443,3.6957,249762,7.1399
DATA,3.4822,3.7543,249934,7.2364
DATA,3.4336,3.8759,250107,7.3095
DATA,3.3594,9.8848,250290,13.2443
DATA,6.1695,5.1539,250462,11.3233
DATA,13.7523,11.4222,250634,25.1745
DATA,30.8547,8.4812,250806,39.3360
DATA,38.6322,14.3378,250978,52.9699
DATA,46.2227,14.4290,251162,60.6517
DATA,64.2463,18.6153,251334,82.8615
DATA,60.0527,16.5778,251506,76.6305
DATA,75.2072,26.4325,251678,101.6397
DATA,37.7020,-5.1600,251850,32.5420
DATA,-10.9121,-1.2155,252033,-12.1276
DATA,3.1732,6.0481,252205,9.2213
DATA,3.4324,5.8841,252377,9.3165
DATA,3.8222,4.1203,252550,7.9424
DATA,3.7808,4.8534,252722,8.6342
DATA,3.9883,4.9084,252905,8.8967
DATA,3.9039,3.8405,253077,7.7444
DATA,3.3952,4.5222,253249,7.9174
DATA,1.0230,4.5968,253421,5.6199
DATA,3.7866,8.2009,253593,11.9875
DATA,4.3673,-20.5540,253777,-16.1867
DATA,6.3775,-11.5441,253949,-5.1666
DATA,23.7584,-5.2713,254121,18.4871
DATA,37.0895,5.5613,254293,42.6509
DATA,30.5999,11.1974,254465,41.7973
DATA,37.1887,12.6426,254649,49.8313
DATA,32.9619,24.8365,254821,57.7983
DATA,27.5386,11.4353,254993,38.9738
DATA,31.6463,13.6666,255165,45.3129
DATA,18.8929,-4.1981,255337,14.6948
DATA,16.0410,3.4366,255520,19.4777
DATA,3.5061,4.1530,255692,7.6591
DATA,3.2019,5.1519,255864,8.3538
DATA,3.9609,5.0912,256036,9.0521
DATA,3.9304,5.1043,256208,9.0347
DATA,4.1507,1.7050,256392,5.8557
DATA,4.0925,5.8203,256564,9.9128
DATA,4.6395,11.3673,256736,16.0069
DATA,4.0936,6.1723,256908,10.2659
DATA,4.1372,5.0383,257080,9.1755
DATA,4.1087,5.0613,257264,9.1700
DATA,3.9789,16.8040,257436,20.7829
DATA,10.2758,29.7984,257608,40.0742
DATA,45.0719,38.5097,257780,83.5817
DATA,71.0786,6.7361,257952,77.8147
DATA,132.6142,2.4110,258135,135.0251
DATA,142.0992,5.5226,258307,147.6218
DATA,137.7525,27.7044,258479,165.4569
