%, jaw1 [mN], jaw2 [mN], time [ms], gripForce [mN]
DATA,0.3833,0.0237,25347,0.4071
DATA,0.3644,-0.0130,25371,0.3514
DATA,0.3616,-0.0059,25396,0.3557
DATA,0.2621,0.0826,25433,0.3447
DATA,0.2167,0.1253,25457,0.3420
DATA,0.3024,-0.0061,25482,0.2964
DATA,0.2066,-0.0237,25507,0.1829
DATA,0.3619,-0.0517,25531,0.3102
DATA,0.3212,0.0833,25556,0.4044
DATA,0.3669,-0.1289,25580,0.2380
DATA,0.2772,0.0619,25605,0.3391
DATA,0.4415,0.0478,25630,0.4893
DATA,0.3341,0.0186,25654,0.3527
DATA,0.4350,-0.0004,25679,0.4346
DATA,0.3520,-0.0549,25703,0.2971
DATA,0.3372,-0.0146,25728,0.3225
DATA,0.3468,0.0355,25765,0.3822
DATA,0.2730,-0.0322,25789,0.2409
DATA,0.3291,-0.0095,25814,0.3196
DATA,0.3759,-0.0005,25839,0.3755
DATA,0.2700,0.0081,25863,0.2781
DATA,0.3266,0.1256,25888,0.4522
DATA,0.3022,0.1335,25912,0.4357
DATA,0.2928,0.0498,25937,0.3426
DATA,0.2421,0.0454,25961,0.2876
DATA,0.4121,-0.0869,25986,0.3251
DATA,0.3542,-0.0988,26011,0.2555
DATA,0.3476,-0.0722,26035,0.2754
DATA,0.3486,-0.0192,26060,0.3294
DATA,0.3650,0.0327,26084,0.3978
DATA,0.3311,-0.0443,26121,0.2868
DATA,0.2113,0.0561,26146,0.2674
DATA,0.3336,-0.0239,26170,0.3098
DATA,0.4125,-0.0589,26195,0.3535
DATA,0.3679,0.1713,26220,0.5391
DATA,0.3204,0.1373,26244,0.4577
DATA,0.3487,0.0433,26269,0.3920
DATA,0.3282,0.0185,26293,0.3467
DATA,0.3358,-0.0561,26318,0.2797
DATA,0.4390,-0.0032,26343,0.4358
DATA,0.4178,-0.0221,26367,0.3957
DATA,0.3400,-0.0044,26392,0.3356
DATA,0.3475,0.0516,26416,0.3991
DATA,0.3566,-0.0022,26453,0.3544
DATA,0.4156,-0.1341,26478,0.2815
DATA,0.2129,0.0481,26502,0.2610
DATA,0.3238,0.0341,26527,0.3580
DATA,0.3414,-0.0704,26552,0.2710
DATA,0.3775,0.0434,26576,0.4209
DATA,0.3861,0.0074,26601,0.3935
DATA,0.3073,0.0218,26625,0.3292
DATA,0.3937,0.0173,26650,0.4109
DATA,0.3802,-0.0431,26675,0.3372
DATA,0.2829,-0.0442,26699,0.2387
DATA,0.4266,-0.0519,26724,0.3746
DATA,0.3551,-0.0073,26748,0.3479
DATA,0.3422,-0.1077,26773,0.2345
DATA,0.3683,0.0351,26810,0.4034
DATA,0.2393,0.1190,26834,0.3583
DATA,0.1659,-0.0241,26859,0.1419
DATA,0.1170,0.0038,26884,0.1208
DATA,0.2031,0.0415,26908,0.2447
DATA,0.1713,0.1558,26933,0.3271
DATA,0.1192,0.2262,26957,0.3454
DATA,0.2100,-0.0141,26982,0.1959
DATA,0.2340,0.0305,27007,0.2645
DATA,0.1535,0.0127,27031,0.1662
DATA,0.1524,0.0279,27056,0.1803
DATA,0.1814,0.0203,27080,0.2017
DATA,1.6885,-0.0013,27105,1.6872
DATA,5.0991,-0.0457,27130,5.0533
DATA,6.1620,-0.0697,27166,6.0923
DATA,7.0187,0.0709,27191,7.0896
DATA,7.6266,0.0312,27216,7.6578
DATA,7.2097,0.0322,27240,7.2419
DATA,7.0129,0.0511,27265,7.0640
DATA,7.3706,0.0463,27289,7.4170
