%, jaw1 [N], jaw2 [N], time [ms], gripForce [N]
DATA,-0.4238,0.1194,21596,-0.3044
DATA,-0.4860,0.0453,21621,-0.4407
DATA,-0.4443,-0.0342,21645,-0.4785
DATA,-0.5485,-0.1152,21670,-0.6637
DATA,-0.4063,0.0705,21694,-0.3358
DATA,-0.4451,0.0168,21719,-0.4283
DATA,-0.3978,-0.0353,21743,-0.4331
DATA,-0.4819,-0.1582,21780,-0.6400
DATA,-0.4191,-0.0482,21805,-0.4673
DATA,-0.5697,-0.0957,21829,-0.6654
DATA,-0.4730,0.0502,21854,-0.4229
DATA,-0.4572,-0.0562,21879,-0.5133
DATA,-0.4855,-0.0258,21903,-0.5114
DATA,-0.4166,0.0747,21928,-0.3418
DATA,-0.3456,-0.0024,21952,-0.3481
DATA,-0.4961,0.1272,21977,-0.3690
DATA,-0.5556,0.1177,22001,-0.4378
DATA,-0.4726,-0.1182,22026,-0.5908
DATA,-0.4814,0.0433,22051,-0.4381
DATA,-0.4390,-0.0712,22075,-0.5102
DATA,-0.4276,-0.0120,22112,-0.4396
DATA,-0.3390,0.0163,22137,-0.3227
DATA,-0.3666,-0.0588,22161,-0.4254
DATA,-0.4248,0.0288,22186,-0.3961
DATA,-0.4013,0.0649,22210,-0.3364
DATA,-0.4525,-0.0368,22235,-0.4893
DATA,-0.3384,0.0198,22259,-0.3186
DATA,-0.3459,-0.0629,22284,-0.4088
DATA,-0.3584,0.1195,22309,-0.2389
DATA,-0.4190,0.0033,22333,-0.4158
DATA,-0.3365,0.0701,22358,-0.2665
DATA,-0.4394,0.0615,22382,-0.3779
DATA,-0.4076,0.0632,22407,-0.3444
DATA,-0.4621,0.0256,22432,-0.4365
DATA,-0.4148,-0.0189,22468,-0.4337
DATA,-0.3285,0.0302,22493,-0.2982
DATA,-0.4374,0.0800,22518,-0.3574
DATA,-0.3737,-0.0201,22542,-0.3938
DATA,-0.4311,0.0457,22567,-0.3854
DATA,-0.4781,0.0632,22591,-0.4149
DATA,-0.4183,0.0237,22616,-0.3946
DATA,-0.3314,0.0083,22640,-0.3231
DATA,-0.3672,0.0008,22665,-0.3664
DATA,-0.4093,-0.0641,22690,-0.4734
DATA,-0.3121,0.1794,22714,-0.1327
DATA,-0.4650,-0.0763,22739,-0.5413
DATA,-0.3048,-0.0724,22763,-0.3772
DATA,-0.4263,0.0106,22788,-0.4157
DATA,-0.2599,0.0624,22825,-0.1975
DATA,-0.4238,0.0092,22849,-0.4146
DATA,-0.3090,0.0956,22874,-0.2133
DATA,-0.2930,-0.0087,22898,-0.3018
DATA,-0.3407,-0.0116,22923,-0.3524
DATA,-0.4444,-0.0535,22948,-0.4979
DATA,-0.2811,0.0852,22972,-0.1959
DATA,-0.2922,-0.0406,22997,-0.3328
DATA,-0.4426,-0.0720,23021,-0.5146
DATA,-0.3786,-0.0292,23046,-0.4078
DATA,-0.3795,0.0007,23071,-0.3788
DATA,-0.4367,-0.0020,23095,-0.4387
DATA,-0.4532,0.0499,23120,-0.4032
DATA,-0.4142,-0.0053,23157,-0.4195
DATA,-0.3992,-0.0831,23181,-0.4822
DATA,-0.3075,0.1253,23206,-0.1823
DATA,-0.4031,0.0446,23230,-0.3585
DATA,-0.3438,0.0944,23255,-0.2494
DATA,-0.3450,-0.0177,23279,-0.3627
DATA,-0.4476,0.0481,23304,-0.3995
DATA,-0.3333,-0.0997,23329,-0.4330
DATA,-0.3451,0.0393,23353,-0.3059
DATA,-0.3203,0.0063,23378,-0.3141
DATA,-0.4092,0.0961,23402,-0.3131
DATA,-0.4186,-0.0050,23427,-0.4236
DATA,-0.4177,-0.0831,23451,-0.5008
DATA,-0.2705,-0.0827,23476,-0.3533
DATA,-0.3757,-0.1359,23513,-0.5116
DATA,-0.3908,0.0773,23537,-0.3136
DATA,-0.3753,-0.0594,23562,-0.4347
DATA,-0.3869,0.0847,23587,-0.3022
DATA,-0.3536,0.0759,23611,-0.2777
DATA,-0.4924,0.1142,23636,-0.3782
DATA,-0.4139,0.0039,23660,-0.4100
DATA,-0.3028,0.0501,23685,-0.2527
DATA,-0.3557,0.0395,23710,-0.3162
DATA,-0.4260,0.0539,23734,-0.3720
DATA,-0.5896,0.0904,23759,-0.4991
DATA,-0.4995,-0.0126,23783,-0.5121
DATA,-0.5509,-0.0459,23808,-0.5968
DATA,-0.5319,0.2617,23845,-0.2702
DATA,-0.4915,0.0811,23869,-0.4104
DATA,-0.5568,-0.0041,23894,-0.5609
DATA,-0.5916,0.0138,23918,-0.5778
DATA,-0.5484,0.1629,23943,-0.3855
DATA,-0.4843,0.0611,23968,-0.4233
DATA,-0.5052,0.0627,23992,-0.4425
DATA,-0.6243,-0.1525,24017,-0.7767
DATA,-0.3722,0.0414,24041,-0.3307
DATA,-0.5004,-0.1058,24066,-0.6063
DATA,0.1468,-0.0397,24090,0.1070
DATA,1.2748,0.0635,24115,1.3383
DATA,2.1453,0.0228,24140,2.1681
DATA,2.2785,0.0402,24164,2.3187
DATA,3.6473,0.1064,24201,3.7537
DATA,5.8208,-0.1206,24226,5.7002
DATA,6.5114,0.0077,24250,6.5191
DATA,5.4903,0.1263,24275,5.6166
DATA,5.4648,0.0270,24299,5.4918
DATA,6.8003,0.0608,24324,6.8611
DATA,8.5183,0.0373,24348,8.5556
DATA,9.2017,-0.0303,24373,9.1714
DATA,9.4777,0.1243,24398,9.6020
DATA,10.1959,-0.1043,24422,10.0915
DATA,10.4112,0.0255,24447,10.4367
DATA,9.5677,0.0909,24471,9.6586
DATA,9.2056,-0.0241,24496,9.1814
DATA,9.9332,0.0381,24533,9.9713
DATA,10.8112,0.0022,24557,10.8134
DATA,10.3233,0.0402,24582,10.3635
DATA,9.1596,0.0103,24606,9.1699
DATA,8.3127,0.0641,24631,8.3768
DATA,8.3360,0.1025,24656,8.4385
DATA,8.3809,0.0532,24680,8.4340
DATA,7.7259,0.0347,24705,7.7606
DATA,7.1854,-0.0788,24729,7.1065
DATA,7.5166,-0.0899,24754,7.4266
DATA,7.3280,-0.1199,24778,7.2081
DATA,6.9767,0.0769,24803,7.0536
DATA,6.7138,-0.0096,24828,6.7042
DATA,6.5327,0.0577,24852,6.5904
DATA,4.5737,0.0809,24889,4.6547
DATA,2.3907,-0.0747,24914,2.3160
DATA,1.5103,-0.0288,24938,1.4815
DATA,0.5973,-0.0557,24963,0.5415
DATA,-0.2268,0.0693,24987,-0.1575
DATA,-0.8271,0.0137,25012,-0.8134
DATA,-0.2683,0.0645,25036,-0.2038
DATA,-0.2652,-0.0131,25061,-0.2783
DATA,-0.2285,0.0523,25086,-0.1762
DATA,-0.2313,-0.0044,25110,-0.2357
DATA,-0.3010,0.0352,25135,-0.2659
DATA,-0.2474,0.0336,25159,-0.2137
DATA,-0.2150,0.0907,25184,-0.1244
DATA,-0.2628,-0.0169,25221,-0.2797
DATA,-0.1965,-0.0235,25245,-0.2201
DATA,-0.1877,-0.0219,25270,-0.2096
DATA,-0.1490,0.1775,25295,0.0285
DATA,-0.1618,0.1211,25319,-0.0407
DATA,-0.2134,-0.0173,25344,-0.2307
DATA,-0.2209,0.0783,25368,-0.1426
DATA,-0.1862,-0.0820,25393,-0.2682
DATA,-0.2285,-0.0242,25417,-0.2526
DATA,-0.2410,-0.0012,25442,-0.2422
DATA,-0.2430,0.0954,25467,-0.1477
DATA,-0.2399,0.0394,25491,-0.2005
DATA,-0.1782,0.1045,25516,-0.0738
DATA,-0.2122,0.1622,25540,-0.0500
DATA,-0.2656,0.1001,25577,-0.1655
DATA,-0.1505,-0.0386,25602,-0.1891
DATA,-0.2910,-0.1040,25626,-0.3950
DATA,-0.3147,-0.0564,25651,-0.3711
DATA,0.0853,0.0454,25675,0.1307
DATA,0.6074,-0.0845,25700,0.5230
DATA,0.8905,-0.0227,25725,0.8678
DATA,1.6960,0.0493,25749,1.7453
DATA,2.8923,0.0797,25774,2.9720
DATA,3.7176,0.0185,25798,3.7360
DATA,4.5840,0.0328,25823,4.6168
DATA,4.5064,0.0778,25848,4.5842
DATA,4.2932,0.1475,25872,4.4407
DATA,4.6158,0.0439,25909,4.6597
DATA,5.1297,-0.0728,25934,5.0569
DATA,4.7647,0.0443,25958,4.8090
DATA,4.5416,0.0225,25983,4.5641
DATA,4.3472,-0.0102,26007,4.3370
DATA,4.5960,-0.0007,26032,4.5953
DATA,4.8298,0.0060,26056,4.8358
DATA,5.5381,-0.1110,26081,5.4271
DATA,6.9391,-0.1341,26106,6.8050
DATA,8.2995,-0.0355,26130,8.2640
DATA,7.9939,0.1295,26155,8.1233
DATA,7.6956,0.0034,26179,7.6990
DATA,7.9081,-0.0448,26204,7.8633
DATA,8.1188,-0.0023,26228,8.1165
DATA,8.1604,0.1119,26265,8.2723
DATA,7.7969,0.0666,26290,7.8634
DATA,8.1476,0.0628,26314,8.2104
DATA,9.4530,-0.0071,26339,9.4459
DATA,9.9939,-0.0385,26364,9.9554
DATA,9.7368,-0.0282,26388,9.7087
DATA,9.5677,-0.0573,26413,9.5104
DATA,9.5128,-0.0195,26437,9.4933
DATA,10.1204,0.0407,26462,10.1612
DATA,9.6104,0.0909,26487,9.7014
DATA,9.7740,0.0674,26511,9.8414
DATA,10.4429,0.0183,26536,10.4612
DATA,11.0719,-0.1566,26560,10.9153
DATA,11.3328,-0.0657,26597,11.2671
DATA,11.9337,0.0277,26622,11.9614
DATA,13.2214,0.1185,26646,13.3399
DATA,14.2371,-0.0320,26671,14.2051
DATA,13.9512,0.0682,26695,14.0194
DATA,14.9697,-0.0050,26720,14.9647
DATA,16.0002,-0.0404,26745,15.9598
DATA,16.8702,-0.0109,26769,16.8592
DATA,17.0153,0.1471,26794,17.1624
DATA,16.5946,0.0049,26818,16.5995
DATA,16.0159,-0.0098,26843,16.0061
DATA,16.4770,0.0102,26867,16.4871
DATA,17.3917,0.0200,26892,17.4117
DATA,17.1518,-0.0699,26917,17.0819
DATA,15.6294,0.2191,26953,15.8485
DATA,15.0183,-0.0269,26978,14.9914
DATA,16.1187,-0.0322,27003,16.0865
DATA,16.4738,0.0910,27027,16.5648
DATA,15.3386,0.1074,27052,15.4460
DATA,14.1467,0.0184,27076,14.1652
DATA,14.0374,-0.0726,27101,13.9648
DATA,14.2918,0.0057,27125,14.2975
DATA,13.9992,-0.0159,27150,13.9833
DATA,13.5675,0.0851,27175,13.6526
DATA,14.4519,-0.0838,27199,14.3680
DATA,14.3919,0.0265,27224,14.4184
DATA,12.7911,0.0185,27248,12.8096
DATA,9.8522,0.0318,27285,9.8840
DATA,7.3274,0.0381,27310,7.3655
DATA,6.0264,-0.0354,27334,5.9910
DATA,4.3581,-0.0131,27359,4.3451
DATA,3.1156,0.0945,27384,3.2101
DATA,1.7769,0.1087,27408,1.8856
DATA,1.4459,-0.0844,27433,1.3615
DATA,1.2372,-0.0322,27457,1.2051
DATA,1.1751,0.0475,27482,1.2225
DATA,1.1236,-0.0728,27506,1.0508
DATA,1.2570,0.0683,27531,1.3253
DATA,1.2124,0.0346,27556,1.2471
DATA,1.1197,-0.0444,27580,1.0753
DATA,1.0858,-0.0851,27605,1.0007
DATA,1.1864,0.0588,27642,1.2452
DATA,1.1178,-0.1388,27666,0.9790
DATA,1.0687,0.0078,27691,1.0765
DATA,1.1690,0.0961,27715,1.2650
DATA,1.1810,-0.0032,27740,1.1778
DATA,1.0708,-0.0596,27764,1.0112
DATA,1.1196,0.0055,27789,1.1251
DATA,1.0700,0.1537,27814,1.2237
DATA,1.0831,-0.1074,27838,0.9757
DATA,1.1030,-0.0242,27863,1.0788
DATA,0.9405,-0.0895,27887,0.8510
DATA,1.0479,0.1162,27912,1.1640
DATA,1.0701,0.0169,27936,1.0870
DATA,0.9603,-0.0368,27973,0.9235
DATA,1.0715,0.0540,27998,1.1255
DATA,1.0661,0.0523,28022,1.1184
DATA,1.0901,-0.0056,28047,1.0845
DATA,1.1268,0.0353,28072,1.1620
DATA,0.9984,0.0512,28096,1.0496
DATA,1.0257,-0.0819,28121,0.9438
DATA,1.0954,0.0261,28145,1.1215
DATA,2.7237,0.0726,28170,2.7963
DATA,6.6623,0.0716,28194,6.7339
DATA,8.9984,0.1147,28219,9.1132
DATA,9.5587,-0.0168,28244,9.5419
DATA,10.0257,0.0234,28268,10.0492
