%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.0279,0.3906,1442830,0.4185
DATA,0.0610,0.3522,1442854,0.4131
DATA,-0.0444,0.3811,1442879,0.3367
DATA,0.0207,0.3401,1442903,0.3608
DATA,0.0255,0.2956,1442928,0.3210
DATA,0.0294,0.2472,1442953,0.2766
DATA,0.0215,0.3576,1442977,0.3790
DATA,0.0276,0.4296,1443002,0.4572
DATA,0.0149,0.3981,1443026,0.4129
DATA,0.0732,0.3328,1443051,0.4060
DATA,0.0831,0.3137,1443076,0.3968
DATA,0.0540,0.4693,1443112,0.5233
DATA,0.0842,0.4434,1443137,0.5277
DATA,0.0000,0.3774,1443162,0.3775
DATA,0.0250,0.4325,1443186,0.4575
DATA,0.0586,0.2218,1443211,0.2804
DATA,0.1169,0.3418,1443235,0.4587
DATA,-0.0385,0.3672,1443260,0.3287
DATA,0.0689,0.4081,1443285,0.4770
DATA,0.0128,0.4264,1443309,0.4392
DATA,0.0005,0.3994,1443334,0.3998
DATA,0.0282,0.4395,1443358,0.4677
DATA,0.0521,0.3703,1443383,0.4224
DATA,-0.0261,0.4126,1443408,0.3864
DATA,0.0120,0.2867,1443432,0.2987
DATA,-0.0282,0.3842,1443469,0.3560
DATA,0.0051,0.3747,1443494,0.3798
DATA,0.0232,0.4267,1443518,0.4499
DATA,0.0053,0.4570,1443543,0.4624
DATA,0.0633,0.4326,1443567,0.4959
DATA,0.0346,0.4117,1443592,0.4464
DATA,0.0611,0.3801,1443617,0.4411
DATA,-0.0041,0.4661,1443641,0.4620
DATA,0.0468,0.4149,1443666,0.4617
DATA,0.0044,0.2871,1443690,0.2914
DATA,-0.0176,0.3436,1443715,0.3260
DATA,4.1921,0.3194,1443739,4.5115
DATA,21.6517,0.3265,1443764,21.9782
DATA,26.0578,0.2127,1443801,26.2705
DATA,28.6200,0.3487,1443826,28.9687
DATA,34.9070,0.3373,1443850,35.2442
DATA,46.0344,0.4983,1443875,46.5328
DATA,58.0133,0.4902,1443899,58.5035
DATA,60.8283,0.4223,1443924,61.2506
DATA,61.1034,0.3562,1443948,61.4597
DATA,62.8603,0.3821,1443973,63.2424
DATA,64.4431,0.4023,1443998,64.8454
DATA,62.5277,0.3861,1444022,62.9138
DATA,59.6053,0.3862,1444047,59.9915
DATA,58.2380,0.2755,1444071,58.5135
DATA,56.3867,0.4485,1444096,56.8353
DATA,52.8512,0.3272,1444121,53.1784
DATA,43.9696,0.4397,1444157,44.4094
DATA,26.4291,0.2289,1444182,26.6580
DATA,8.2677,0.3417,1444207,8.6094
DATA,0.2732,0.3590,1444231,0.6322
DATA,0.0565,0.2481,1444256,0.3046
DATA,-0.0205,0.3437,1444280,0.3232
DATA,0.0686,0.3706,1444305,0.4392
DATA,0.0259,0.3757,1444330,0.4016
DATA,0.0347,0.2959,1444354,0.3306
DATA,0.0633,0.2765,1444379,0.3398
DATA,-0.0368,0.4226,1444403,0.3858
DATA,0.0538,0.2739,1444428,0.3277
DATA,0.0113,0.4318,1444453,0.4431
DATA,0.0189,0.4857,1444477,0.5046
DATA,0.0486,0.3091,1444514,0.3577
DATA,0.1360,0.4046,1444539,0.5406
DATA,0.0496,0.3569,1444563,0.4066
DATA,0.0545,0.4366,1444588,0.4912
DATA,0.0725,0.3403,1444612,0.4128
DATA,0.0302,0.4363,1444637,0.4665
DATA,-0.0438,0.3937,1444662,0.3499
DATA,4.4995,0.3739,1444686,4.8734
DATA,16.2705,0.3966,1444711,16.6671
DATA,19.3235,0.3928,1444735,19.7162
DATA,19.5693,0.4270,1444760,19.9964
DATA,23.9271,0.4637,1444785,24.3908
DATA,30.3753,0.3211,1444809,30.6964
DATA,34.2642,0.4188,1444834,34.6830
DATA,35.9012,0.4040,1444871,36.3052
DATA,37.4746,0.2527,1444895,37.7273
DATA,39.9372,0.3649,1444920,40.3022
DATA,42.1685,0.3903,1444944,42.5588
DATA,43.7462,0.3930,1444969,44.1392
DATA,43.5773,0.2869,1444994,43.8642
DATA,43.1257,0.3235,1445018,43.4492
DATA,43.3394,0.3279,1445043,43.6673
DATA,43.7265,0.2906,1445067,44.0171
DATA,43.6694,0.4811,1445092,44.1505
DATA,43.6230,0.4544,1445117,44.0774
DATA,43.3062,0.3242,1445141,43.6304
DATA,44.2337,0.2451,1445166,44.4788
DATA,45.1428,0.3395,1445190,45.4824
DATA,42.7533,0.4133,1445227,43.1666
DATA,37.9491,0.4098,1445252,38.3589
DATA,34.6748,0.3497,1445276,35.0246
DATA,22.0252,0.3617,1445301,22.3869
DATA,5.7389,0.4351,1445326,6.1740
DATA,0.2575,0.4739,1445350,0.7314
DATA,0.0127,0.2671,1445375,0.2798
DATA,0.1112,0.4089,1445399,0.5201
DATA,-0.0367,0.3239,1445424,0.2872
DATA,0.0105,0.4073,1445448,0.4178
DATA,0.0206,0.2848,1445473,0.3055
DATA,0.0201,0.2935,1445498,0.3136
DATA,0.0509,0.4551,1445522,0.5061
DATA,-0.0011,0.3708,1445547,0.3696
DATA,-0.0261,0.3515,1445584,0.3254
DATA,0.0027,0.2780,1445608,0.2807
DATA,-0.0015,0.3726,1445633,0.3710
DATA,0.0410,0.3670,1445658,0.4080
DATA,0.0346,0.3391,1445682,0.3737
DATA,0.0320,0.3943,1445707,0.4263
DATA,0.0516,0.4239,1445731,0.4755
DATA,-0.0123,0.3716,1445756,0.3593
DATA,-0.0527,0.4819,1445780,0.4292
DATA,0.7038,0.4035,1445805,1.1072
DATA,5.7782,0.3064,1445830,6.0846
DATA,11.9113,0.4065,1445854,12.3178
DATA,15.1833,0.3017,1445879,15.4851
DATA,17.7263,0.1963,1445916,17.9226
DATA,21.2934,0.3998,1445940,21.6932
DATA,23.7679,0.2993,1445965,24.0672
DATA,24.6113,0.5080,1445990,25.1193
DATA,24.8288,0.3992,1446014,25.2280
DATA,26.8740,0.3087,1446039,27.1827
DATA,29.9372,0.4249,1446063,30.3622
DATA,31.2245,0.4187,1446088,31.6432
