%, jaw1 [g], jaw2 [g], time [ms], gripForce [g]
DATA,0.1036,0.0589,129587,0.1625
DATA,0.1973,0.0760,129611,0.2733
DATA,0.1774,0.0331,129636,0.2105
DATA,0.2271,0.0733,129660,0.3003
DATA,0.1538,0.0738,129685,0.2276
DATA,0.1564,0.1622,129709,0.3186
DATA,0.1237,0.0633,129734,0.1870
DATA,0.1657,0.0493,129758,0.2151
DATA,0.2111,-0.0138,129783,0.1974
DATA,0.1570,-0.0359,129807,0.1211
DATA,0.1097,-0.0289,129832,0.0808
DATA,0.1566,0.0338,129856,0.1905
DATA,0.1428,0.1067,129881,0.2495
DATA,0.1869,0.0329,129918,0.2198
DATA,0.1759,-0.0340,129942,0.1419
DATA,0.1723,0.0847,129967,0.2570
DATA,0.1739,0.0492,129991,0.2231
DATA,0.2098,0.0418,130016,0.2516
DATA,0.1202,0.1522,130041,0.2725
DATA,0.1824,-0.0123,130065,0.1700
DATA,0.1792,0.1067,130090,0.2859
DATA,0.1964,0.1061,130114,0.3025
DATA,0.1380,0.0945,130139,0.2325
DATA,0.0991,0.1336,130163,0.2326
DATA,0.1834,-0.0411,130188,0.1422
DATA,0.1215,0.0612,130212,0.1827
DATA,0.1346,0.0843,130237,0.2189
DATA,0.1802,0.0134,130274,0.1937
DATA,0.1823,0.0870,130298,0.2693
DATA,0.1651,0.0273,130323,0.1924
DATA,0.1651,0.0910,130347,0.2561
DATA,0.1193,-0.0509,130372,0.0685
DATA,0.1212,0.0893,130396,0.2105
DATA,0.1563,0.0073,130421,0.1636
DATA,0.1574,0.0153,130446,0.1727
DATA,0.0876,0.0987,130470,0.1863
DATA,0.2637,0.0472,130495,0.3109
DATA,0.1411,0.1085,130519,0.2496
DATA,0.2095,0.0238,130544,0.2333
DATA,0.0734,0.0479,130568,0.1213
DATA,0.1349,-0.0099,130605,0.1249
DATA,0.2028,0.1120,130630,0.3148
DATA,0.1841,0.0102,130654,0.1943
DATA,0.1449,-0.0427,130679,0.1023
DATA,0.2767,0.0784,130703,0.3551
DATA,0.1223,-0.0669,130728,0.0554
DATA,0.1909,0.1075,130752,0.2984
DATA,0.1987,0.0391,130777,0.2378
DATA,0.1611,0.0223,130801,0.1834
DATA,0.2554,0.1072,130826,0.3626
DATA,0.1965,0.1723,130850,0.3688
DATA,0.1702,0.0531,130875,0.2232
DATA,0.9160,0.0147,130900,0.9307
DATA,7.0237,-0.1621,130924,6.8616
DATA,8.3222,0.0259,130961,8.3481
DATA,14.1223,0.0087,130985,14.1310
DATA,29.0363,0.1341,131010,29.1704
DATA,34.1541,-0.0046,131035,34.1495
DATA,34.2597,-0.0030,131059,34.2567
DATA,35.0654,-0.0438,131084,35.0216
DATA,37.7248,-0.0107,131108,37.7141
DATA,42.8584,0.0969,131133,42.9553
DATA,48.2326,0.0080,131157,48.2406
DATA,51.6048,0.1277,131182,51.7325
DATA,53.1652,0.0844,131206,53.2497
DATA,52.7918,-0.0098,131231,52.7820
DATA,54.9988,0.1029,131255,55.1017
DATA,55.1281,0.0721,131292,55.2002
DATA,54.2619,0.0971,131317,54.3590
DATA,50.9805,0.2002,131341,51.1807
DATA,46.8890,0.0623,131366,46.9513
DATA,43.5678,0.0010,131390,43.5688
DATA,42.0923,0.0922,131415,42.1845
DATA,35.1355,0.1403,131440,35.2758
DATA,21.9343,-0.0730,131464,21.8613
DATA,9.1864,-0.0237,131489,9.1627
DATA,2.6276,0.0218,131513,2.6493
DATA,0.6239,0.1254,131538,0.7493
DATA,0.2206,-0.0054,131562,0.2153
DATA,0.1472,0.2021,131587,0.3493
DATA,0.2358,0.0368,131611,0.2726
DATA,0.1587,0.0523,131648,0.2111
DATA,0.1847,0.0922,131673,0.2770
DATA,0.0749,0.0064,131697,0.0812
DATA,0.1675,0.0660,131722,0.2334
DATA,0.2080,0.0284,131746,0.2363
DATA,0.1645,0.0563,131771,0.2209
DATA,0.6487,0.0239,131795,0.6726
DATA,9.8625,0.1268,131820,9.9893
DATA,20.6023,0.0331,131844,20.6354
DATA,27.3177,-0.0206,131869,27.2971
DATA,34.6831,0.0765,131894,34.7596
DATA,45.4412,0.0969,131918,45.5382
DATA,50.0174,0.1745,131943,50.1920
DATA,49.6069,0.1117,131979,49.7186
DATA,48.8177,0.0858,132004,48.9034
DATA,48.5432,0.0103,132029,48.5535
DATA,47.2546,0.0088,132053,47.2634
DATA,46.2262,0.0476,132078,46.2738
DATA,46.6246,0.0352,132102,46.6598
DATA,47.3797,0.0524,132127,47.4321
DATA,48.3211,0.0660,132151,48.3871
DATA,49.4503,0.1696,132176,49.6199
DATA,49.3463,-0.0302,132200,49.3161
DATA,48.6999,0.0890,132225,48.7890
DATA,48.9649,0.0330,132249,48.9979
DATA,47.9657,0.1187,132274,48.0844
DATA,49.0266,0.0118,132299,49.0384
DATA,50.8333,0.0553,132335,50.8886
DATA,51.2105,-0.0113,132360,51.1991
DATA,54.2199,-0.0070,132384,54.2129
DATA,57.4771,-0.0393,132409,57.4378
DATA,60.4149,0.0953,132434,60.5102
DATA,64.9747,0.1157,132458,65.0903
DATA,69.1135,0.1203,132483,69.2337
DATA,69.6375,0.0607,132507,69.6982
DATA,71.4833,0.0526,132532,71.5358
DATA,77.8843,0.0961,132556,77.9803
DATA,80.4240,0.0574,132581,80.4814
DATA,79.5488,0.0542,132605,79.6030
DATA,82.4737,-0.0043,132630,82.4694
DATA,83.5953,-0.0028,132667,83.5926
DATA,83.7102,-0.0666,132691,83.6435
DATA,84.9069,-0.0802,132716,84.8267
DATA,87.5566,0.0407,132740,87.5973
DATA,88.0125,0.0636,132765,88.0761
DATA,87.8870,0.0895,132789,87.9766
DATA,89.8557,0.1625,132814,90.0182
DATA,91.1438,0.0814,132839,91.2252
DATA,92.6192,0.0976,132863,92.7168
DATA,94.6151,0.0482,132888,94.6632
DATA,94.8920,-0.0160,132912,94.8759
DATA,91.3696,-0.0134,132937,91.3561
DATA,84.5039,0.1329,132961,84.6368
DATA,79.9611,0.0880,132986,80.0491
DATA,74.9791,-0.0040,133023,74.9752
DATA,69.6690,0.0655,133047,69.7345
DATA,64.2918,0.0616,133072,64.3534
DATA,63.4063,0.0083,133096,63.4146
DATA,61.3232,-0.0595,133121,61.2636
DATA,55.8138,-0.0542,133145,55.7595
DATA,47.9146,0.0101,133170,47.9247
DATA,34.7874,0.0724,133194,34.8598
DATA,20.7676,0.0273,133219,20.7949
DATA,9.9705,0.0867,133244,10.0572
DATA,6.2831,0.0652,133268,6.3483
DATA,3.9344,0.0952,133293,4.0296
DATA,2.2276,0.0835,133317,2.3111
DATA,1.3306,0.0213,133354,1.3519
DATA,1.2495,0.1175,133379,1.3670
DATA,1.8279,0.0565,133403,1.8844
DATA,2.5607,0.1397,133428,2.7004
DATA,3.5027,0.0577,133452,3.5604
DATA,6.0865,-0.0497,133477,6.0368
DATA,8.9843,0.1072,133501,9.0915
DATA,13.1147,0.0974,133526,13.2121
DATA,20.2784,0.0651,133550,20.3435
DATA,26.4991,0.0951,133575,26.5941
DATA,28.2090,0.0273,133599,28.2363
DATA,30.0182,0.0274,133624,30.0456
DATA,32.5184,0.1220,133649,32.6405
DATA,34.3131,0.1077,133673,34.4208
DATA,36.8012,0.0689,133710,36.8701
DATA,38.0562,0.1387,133734,38.1949
DATA,34.8402,0.1722,133759,35.0125
DATA,28.4792,0.1405,133784,28.6196
DATA,21.0517,0.0566,133808,21.1083
DATA,11.7532,0.0515,133833,11.8047
DATA,5.2722,0.0972,133857,5.3694
DATA,3.5530,0.1198,133882,3.6728
DATA,2.9881,0.1283,133906,3.1164
DATA,2.4564,0.0642,133931,2.5206
DATA,2.5762,0.0783,133955,2.6545
DATA,3.9479,0.0911,133980,4.0390
DATA,6.6199,0.0518,134004,6.6717
DATA,10.6095,0.1058,134041,10.7152
DATA,15.1173,0.0373,134066,15.1546
DATA,21.5110,0.1666,134090,21.6775
DATA,29.8178,0.0576,134115,29.8754
DATA,34.8384,0.0589,134139,34.8974
DATA,37.6951,0.0892,134164,37.7843
DATA,39.5995,0.0443,134188,39.6438
